,topic_01,topic_02,topic_03,scenario_r2,evidence_r2
249,070,056,038,0.00880310683706964,0.005876729085288024
250,037,063,094,0.0034080437714928413,0.010897481640221529
251,051,165,096,0.009217524761232054,0.008952922712731959
252,067,151,031,0.011326166172795804,0.027216862342415604
253,127,076,119,0.0050241267958316405,0.03915549750645542
254,120,161,084,0.013384270190521685,0.15161383978182696
255,005,077,156,0.004155132130489569,0.003301185232920445
256,104,077,094,0.006102670142567823,0.0031720018643311976
257,080,073,065,0.01359389843297254,0.010985164515439072
258,121,161,061,0.002244397003966947,0.00753735758161167
259,199,158,142,0.006867661414172166,0.004806521013387077
260,105,082,011,0.012693382794598751,0.01272731874423072
261,190,121,138,0.00454333477248603,0.005764204349029467
262,052,087,129,0.001040140608807416,0.038562023728095474
263,130,155,189,0.037892479786315714,0.011110052158837092
264,047,193,152,0.003531410594457496,0.0390955513125103
265,061,057,070,0.003475994257814863,0.004166790740217641
266,029,013,050,0.013097592227969579,0.007895714153812294
267,107,140,144,0.001816316960667086,0.013469477760601145
268,155,070,117,0.04255691548120988,0.011563239025381367
269,177,109,188,0.004098885106357808,0.02213345086443408
270,000,175,023,0.0017470360965117226,0.018482105834550455
271,183,057,065,0.0023454466026220366,0.003660773024043995
272,005,147,149,0.004049077533636702,0.002569624874872445
273,155,052,017,0.03842925527338659,0.03788016212092249
274,187,155,136,0.06829468248300241,0.07752839116150045
275,114,173,124,0.03266614889335395,0.09546573166492733
276,132,146,036,0.02104936982286565,0.05633594633900352
277,098,114,069,0.013606996611841837,0.04171081947563848
278,035,063,127,0.0020494157896081555,0.010568558981721377
279,018,102,081,0.006633963860757097,0.02900090693708679
280,035,005,140,0.004275812845936922,0.006546063113230027
281,026,174,058,0.002045629814013017,0.001558537211158506
282,187,143,027,0.010456287274931197,0.0726790822124791
283,034,152,018,0.014912721511024518,0.042589418540722956
284,092,035,075,0.004276381126161244,0.021170263550960522
285,171,138,047,0.0022986968791384177,0.07910930104633462
286,171,065,148,0.0018906339020460239,0.11472877339258847
287,004,164,063,0.015186983041410196,0.08326956087429094
288,125,097,149,0.008848796101903589,0.00021766053757454884
289,081,088,001,0.00491602589343465,0.027474866260119524
290,082,169,124,0.008372167304932843,0.029483365112351723
291,118,006,169,0.00033019331968164867,0.042866925033602676
292,193,137,066,0.004505424185866191,0.008434715082738853
293,068,062,161,0.012720936608859645,0.013909457981413187
294,047,036,037,0.0009332655242144661,0.028474950055407677
295,099,144,136,0.0030479769127087497,0.01436684358282636
296,021,195,165,0.019112817472963006,0.010228496710524615
297,140,174,023,0.0018126292560258772,0.002593091184802443
298,120,027,073,0.01229578655156871,0.15817494766826545
299,049,075,133,0.005047118506176562,0.00045339856884629715
300,041,170,120,0.0036051716444818194,0.01836151704288369
301,023,062,164,0.013523505411524472,0.07265628293806103
302,122,143,063,0.007958308687701643,0.0013484838861893556
303,164,156,096,0.015152853520722709,0.06906986314061114
304,098,005,059,0.012970642122401621,0.017326013989497402
305,141,007,160,0.010083081641112712,0.044290013058296385
306,189,136,039,0.016697664904495646,0.02986657750200672
307,198,012,074,0.007300618248140656,0.00576906762295204
308,144,116,199,0.005651567587593331,0.041807907979220404
309,013,011,005,0.0027985592407403503,0.016562876426160167
310,063,147,133,0.0019351119508156378,0.006642770572901524
311,131,034,096,0.017254687920031264,0.042866001367283246
312,193,037,105,0.005142040452536745,0.013879138048267903
313,131,114,029,0.006366901754329746,0.028951733060882057
314,001,136,051,0.019176086247514323,0.023675728214074043
315,043,055,147,0.006894371435574587,0.06715790236075114
316,038,013,116,0.00024710596203214585,0.0015944634821830617
317,018,113,032,0.002581448680597398,0.010031318913430343
318,194,109,196,0.005204474910403101,0.020149220840046
319,108,021,059,0.005382306627800704,0.031279600270153085
320,196,072,193,0.003149172544994139,0.06280163614761458
321,164,027,172,0.015640829607133422,0.07242231854115266
322,118,085,059,0.003148034955262724,0.05198021396707908
323,012,088,172,0.009506883563196844,0.022784041589135606
324,105,170,199,0.00896813313676137,0.017066885865950843
325,062,183,090,0.012768021435175969,0.01327443668746886
326,101,176,056,0.019690871828430878,0.09074879105402256
327,090,021,026,0.005451115587730149,0.0012920248102704646
328,176,152,053,0.0029985194023920414,0.0007175668708004901
329,073,027,016,0.013926678884309429,0.014532454700418196
330,105,053,195,0.01623607334773991,0.06697412569792793
331,105,150,108,0.018512699720709347,0.023255275874496717
332,021,105,092,0.008903187770018084,0.0006884913520111002
333,106,185,068,0.0030940109544072003,0.009624489932438918
334,102,144,101,0.007424307803357344,0.03260191070476337
335,193,046,189,0.004127073370838841,0.016920966042009433
336,150,070,091,0.019083269227550548,0.026277608890574067
337,156,085,107,0.002942114650456018,0.010363835643214747
338,085,101,017,0.018680770903711452,0.0956768128608324
339,164,062,187,0.025086030738353138,0.07466137316381294
340,024,106,078,0.012850692219901871,0.06060564941595392
341,106,050,127,0.00507290379373726,0.0048455728938067155
342,052,196,107,0.0021872999629294343,0.03624313445116034
343,113,165,077,0.0024160602844064405,0.001348865802035415
344,169,088,089,0.005747380905367527,0.0378015870443148
345,056,187,052,0.007112148135958174,0.07324867564363136
346,069,141,065,0.010924859298331202,0.039996655167166884
347,169,137,025,0.0018433030612997614,0.017712354164425292
348,192,049,064,0.0016997392568051106,0.011740900267151466
349,160,014,018,0.00015514986761899774,0.002101285618029136
350,133,060,016,0.009060766347008142,0.009948225704751068
351,057,130,087,0.0039963328584889934,0.010160243496439292
352,114,023,061,0.005163080471253467,0.08599855197063622
353,189,141,152,0.014917764418652002,0.0431729294408566
354,029,074,115,0.02121655426935576,0.010152756817293662
355,072,166,121,0.009067113089148537,0.06599067749725396
356,166,125,104,0.008601049943828154,0.00598374559217596
357,133,185,132,0.008456352970597103,0.008476820725496492
358,193,037,021,0.005142040452536745,0.013879138048267903
359,005,181,082,0.012799363060088775,0.004791827295006268
360,015,102,158,0.0052624715240456865,0.021271065097370312
361,182,087,101,0.0011954231092294876,0.008054490058207575
362,110,124,161,0.008480747929102805,0.040236503679540236
363,003,013,191,0.0010863724137324393,0.07334908187426992
364,072,117,153,0.006207014784744169,0.06417455655174975
365,170,036,056,0.0026597317268486353,0.01831119103658596
366,078,015,038,0.005159447939570683,0.0011173991479586087
367,053,167,113,0.008388207594496877,0.06550589819984065
368,106,026,116,0.0012393828342593949,0.0045979427237332615
369,056,150,012,0.015799849914041486,0.02702509939697284
370,073,022,117,0.023813186760609173,0.08396685473433863
371,116,035,040,0.00413513054647896,0.03678975069987922
372,187,070,039,0.008573194279705265,0.07953292583655958
373,018,038,062,0.0016240193863250596,0.010129653526175564
374,192,016,137,0.0018959026192642003,0.010628573444025458
375,038,078,066,0.005143557079929861,0.0009539267158181763
376,190,029,068,0.014009241345678936,0.007386411137094373
377,103,105,000,0.007629084471450054,0.004462368571420794
378,018,081,124,0.001626863674498935,0.015495521817622926
379,195,092,194,0.021936825474943356,0.02369281428236536
380,021,078,067,0.009026990008272784,0.0005249747720169617
