,num_topics,evidence_r2,2,3,4,5
87,4,0.018081862314751396,033,117,012,192
88,4,0.0369712090962091,050,027,191,048
89,4,0.04133739258834368,092,122,108,067
90,4,0.022726906837276406,148,059,008,190
91,4,0.11884601185428467,146,024,124,052
92,4,0.10923334152355557,013,004,130,101
93,4,0.01834744490229745,056,060,036,195
94,4,0.006597164425781732,140,105,001,027
95,4,0.08068242160286898,003,138,144,161
96,4,0.029759131442344544,073,037,098,080
97,4,0.08951774801939316,091,031,130,011
98,4,0.02666254932359624,178,007,161,124
99,4,0.0773201898014626,149,075,034,055
100,4,0.01061789638970545,021,061,015,019
101,4,0.11818283468574586,190,164,101,016
102,4,0.015800596061649297,013,056,198,130
103,4,0.018615428819746316,104,125,144,182
104,4,0.09521548240659738,101,061,188,070
105,4,0.03517596844234694,113,109,054,132
106,4,0.0492177607086135,147,152,153,089
107,4,0.0030784798361920274,147,178,194,015
108,4,0.062070449800007865,024,166,015,172
109,4,0.0157828007492522,194,142,029,035
110,4,0.017527084640911017,137,032,125,123
111,4,0.03585222197895732,048,188,092,081
112,4,0.012403795368166382,130,172,016,021
113,4,0.10307592429478907,049,029,069,134
114,4,0.05234634567274876,008,043,109,124
115,4,0.05834607259541469,065,113,195,143
116,4,0.07672173622392209,080,123,053,090
117,4,0.10801737296442082,101,079,062,015
118,4,0.09805253206840936,142,089,103,053
119,4,0.030944154005131508,102,016,005,062
120,4,0.07857465893269833,166,096,151,065
121,4,0.014339885787155171,125,016,008,000
122,4,0.013087970115455927,167,051,185,178
123,4,0.05279111372526035,116,011,049,138
124,4,0.13768716295970573,127,174,150,171
125,4,0.09907881165355714,089,003,031,011
126,4,0.04108726828774256,035,102,083,015
127,4,0.03779076994906616,196,057,079,044
128,4,0.01690403496158832,033,077,122,090
129,4,0.05118202408944794,116,102,183,198
130,4,0.0362455726010128,008,046,107,103
131,4,0.009188622548744418,027,041,066,036
132,4,0.021972431602674813,170,000,075,014
133,4,0.03830030092662351,048,031,044,059
134,4,0.09997448667303122,062,101,087,149
135,4,0.025304239569335807,182,041,064,046
136,4,0.051762925535525195,178,043,056,132
137,4,0.071679962693034,053,183,046,097
138,4,0.030997994304165943,062,069,098,148
139,4,0.0165818783681545,192,131,013,152
140,4,0.06631474391266867,167,178,113,053
141,4,0.1913776551950207,163,061,120,118
142,4,0.027980369133836502,123,040,006,062
143,4,0.1913137372796203,157,021,055,184
144,4,0.06719609280283145,151,094,150,077
145,4,0.01580035851485151,062,026,152,058
146,4,0.008822927882015996,005,013,182,125
147,4,0.02391885259779991,005,158,175,074
148,4,0.03191699707243567,132,077,165,170
149,4,0.08837746933060275,188,094,181,022
150,4,0.015047426774860262,019,113,027,045
151,4,0.09607501111008265,153,013,169,173
152,4,0.016264608272018477,007,021,066,094
153,4,0.10097037399027886,096,022,182,170
154,4,0.07763442553353028,038,123,166,134
155,4,0.016936592949371443,115,026,019,125
156,4,0.01154936721602351,006,077,085,143
157,4,0.011815631823698158,193,036,191,039
158,4,0.020646709884866166,039,107,029,174
159,4,0.0465588164313282,182,114,121,130
160,4,0.03657222069619792,099,044,189,144
161,4,0.019203070127282507,098,031,174,159
162,4,0.09831004376067953,040,016,101,117
163,4,0.03691189780323356,025,137,048,178
164,4,0.17464281476542698,143,005,076,157
165,4,0.04328980883486755,115,196,082,192
166,4,0.050325377274322736,195,119,155,062
167,4,0.03672432329961628,149,075,105,127
168,4,0.013221912342571196,184,140,045,193
169,4,0.0851655678292258,113,187,172,125
170,4,0.02926431869859436,084,012,097,151
171,4,0.020773749725284008,036,005,011,153
172,4,0.1697697962013892,133,043,031,120
173,4,0.07499596540290598,146,029,163,047
174,4,0.04869455861242644,150,166,124,107
175,4,0.0861440593265913,153,192,015,187
176,4,0.06556451388748086,151,114,102,131
177,4,0.05024065150075929,178,132,055,156
178,4,0.07184508380329357,037,012,174,053
179,4,0.007695219246790064,155,071,122,156
