,num_topics,scenario_r2,2,3
237,2,0.004839633404414068,006,012
238,2,0.016439427889577418,120,131
239,2,0.03889028401047334,155,198
240,2,0.000516384442393325,026,038
241,2,0.0017602256590210086,061,014
242,2,0.01817329810344359,181,120
243,2,0.0004907454421708701,048,027
244,2,0.030298914077056205,115,034
245,2,0.007069925452203529,133,063
246,2,0.015022405139170192,120,144
247,2,0.012994464110526183,097,143
248,2,0.004232384417976021,065,092
249,2,0.00044555721526495784,159,094
250,2,0.0002988054029007259,013,007
251,2,0.002753638993821861,132,148
252,2,0.014291903994147481,001,109
253,2,0.014226352078261284,092,141
254,2,0.012169386624002354,081,136
255,2,0.010443622089471694,047,129
256,2,0.004909490776652703,056,199
257,2,0.008047325414940132,053,015
258,2,0.03784678793642626,042,155
259,2,0.0038715848626464933,183,060
260,2,0.009050651501764428,181,027
261,2,0.01009969157214985,184,141
262,2,0.0016256074638469897,049,018
263,2,0.028620327752413743,119,123
264,2,0.008670955334145636,055,114
265,2,0.009684741758554494,078,075
266,2,0.004575984353654805,050,049
267,2,0.01718981804177,164,059
268,2,0.013436082955416095,187,022
269,2,0.0016152065623653566,063,039
270,2,0.032918707938394576,115,146
271,2,0.006583477600817678,078,196
272,2,0.0031770316243536767,085,039
273,2,0.010929846999805592,068,163
274,2,0.012494594883382115,074,021
275,2,0.0048691056295872,193,131
276,2,0.0075313990503991235,003,189
277,2,0.009991840523972284,141,182
278,2,0.0004066114582581548,090,125
279,2,0.0019440993933989015,192,047
280,2,0.0177996491805148,195,081
281,2,0.025971797412308595,123,132
282,2,0.016566871142631112,034,134
283,2,0.012241209932141728,014,029
284,2,0.0047205506425637145,012,015
285,2,0.013127179059219896,159,024
286,2,0.0244094610606731,029,034
287,2,0.0029726131435278136,085,103
288,2,0.019495864096844673,058,025
289,2,0.004480884443310407,131,037
290,2,0.011454371053634782,001,177
291,2,0.01929545659947729,098,181
292,2,0.003370388915226896,060,052
293,2,0.002109418779200234,140,121
294,2,0.009632631494823629,079,159
295,2,0.012341714661763814,038,024
296,2,0.005033969902319524,075,004
297,2,0.020139812615202812,102,195
298,2,0.001740474209047993,192,094
299,2,0.009159910766625146,127,097
300,2,0.021417102329925553,001,166
301,2,0.001264085895690381,077,147
302,2,0.010279860972230326,076,189
303,2,0.012321737692211676,015,120
304,2,0.014418029829851742,043,073
305,2,0.009766861060772514,079,068
306,2,0.0034313183392902236,110,041
307,2,0.001581131154286708,152,032
308,2,0.0012108974588357357,065,047
309,2,0.007978827828020285,116,088
310,2,0.0049652298804868655,081,008
311,2,0.00414137782900903,032,199
312,2,0.002491002769082651,131,036
313,2,0.003933391450998136,114,153
314,2,0.0011556421284262264,094,000
315,2,0.00033018834840492506,006,118
316,2,0.0022285595709000683,140,196
317,2,0.002588764609302019,149,137
318,2,0.005798169064830994,104,156
319,2,0.006426401830502582,088,057
320,2,0.004947562282393569,088,036
321,2,0.004867816754007492,199,011
322,2,0.02021520912220831,063,146
323,2,0.00593134355475422,158,041
324,2,0.009970476624805769,190,129
325,2,0.0013563641907842205,178,148
326,2,0.011146234059241533,163,113
327,2,0.0015930376427900628,125,174
328,2,0.00019257268294958774,007,006
329,2,0.021082681849273532,033,092
330,2,0.006691716603570486,018,064
331,2,0.008568173879351493,053,147
332,2,0.0009143153341961696,090,065
333,2,0.0012539996697544797,178,161
334,2,0.013491297741638264,163,012
335,2,0.0005994755496152582,004,152
336,2,0.019935932015753055,159,146
337,2,0.0006408996469007278,152,167
338,2,0.0056219351504291915,158,063
339,2,0.0014168565303982472,165,071
340,2,0.0018086014631893965,027,127
341,2,0.0034783101804986005,138,011
342,2,0.008032682889569709,084,143
343,2,0.007619227221239644,013,134
344,2,0.018383355269192325,072,033
345,2,0.006575809574786318,183,064
346,2,0.01718057106870452,098,051
347,2,0.013523500505856934,062,023
348,2,0.014337311823922172,070,134
349,2,0.0175929732802087,097,091
350,2,0.006173110516446645,172,076
351,2,0.008537266307301672,167,166
352,2,0.0006425581745357345,148,089
