,num_topics,scenario_r2,2,3
106,2,0.0036267065548891697,052,042
107,2,0.019927125687014158,080,187
108,2,0.0012349629090984138,120,078
109,2,0.0019661398133433705,037,072
110,2,0.010084852794953192,039,129
111,2,0.01304448421828941,181,115
112,2,0.010592021971595367,049,137
113,2,0.024074899417150353,063,073
114,2,0.0019249792372425523,072,153
115,2,0.009309794041900799,023,097
116,2,0.014814862073754376,156,150
117,2,0.015821723382591246,027,050
118,2,0.017750439475178514,043,137
119,2,0.0027732285676157487,124,146
120,2,0.014357720773356064,199,156
121,2,0.001876058950531334,199,045
122,2,0.014491068623188719,055,038
123,2,0.012699932960578364,120,003
124,2,0.002474814267090064,085,196
125,2,0.023715122927500443,023,026
126,2,0.0014931198051448824,115,191
127,2,0.03300691595287908,149,156
128,2,0.0068525695271655085,060,131
129,2,0.0003300204611630386,105,108
130,2,0.0002564130394379083,159,192
131,2,0.00035802867952738904,150,117
132,2,0.002556865318271928,132,000
133,2,0.04212573311405199,181,127
134,2,0.03516506756230453,078,127
135,2,0.02652412581464081,079,054
136,2,0.004648313916300162,068,019
137,2,0.0016685848581127205,167,187
138,2,0.0050559797965207265,011,018
139,2,0.009577108553094904,073,039
140,2,0.0016495289209326192,008,011
141,2,0.002598069920670909,065,131
142,2,0.0026933392365903197,188,144
143,2,0.022913662033479776,062,143
144,2,0.003056502093513047,081,085
145,2,0.009271141056831578,067,023
146,2,0.0023918931785331665,184,142
147,2,0.04512581750936995,183,123
148,2,0.013030754341109674,181,102
149,2,0.0036683252294916757,069,038
150,2,0.009939191969168926,183,016
151,2,0.016041481724298978,059,057
152,2,0.008609166330270424,120,130
153,2,0.001153361048879864,118,014
154,2,0.01803940493315004,087,190
155,2,0.02038394247973463,076,062
156,2,0.030336971325126583,054,098
157,2,0.014494968565425648,037,156
158,2,0.04885446505847335,041,123
159,2,0.00136562916562033,146,000
160,2,0.002863075979007812,141,045
161,2,0.0030170584525373023,103,183
162,2,0.00039027997555318716,035,115
163,2,0.012873130751873907,131,055
164,2,0.0278742206318654,190,050
165,2,0.00013483559628446606,196,071
166,2,0.013790958183741875,027,003
167,2,0.010942050937629233,125,092
168,2,0.0005603190168546046,140,008
169,2,0.0007857009639730128,099,140
170,2,0.03134278764844378,017,046
171,2,0.0001881203365797779,192,108
172,2,0.017634635593123393,118,062
173,2,0.020094527717006816,053,149
174,2,0.016925529675110074,156,193
175,2,0.010791194115695957,039,036
176,2,0.00446881232024432,198,185
177,2,0.0027817149605270375,104,184
178,2,0.02114382816362459,029,165
179,2,0.00037702041927023533,199,105
180,2,0.011610023065599773,092,065
181,2,0.0069757905772733775,013,159
182,2,0.04660335460617049,123,161
183,2,0.010974833319169264,130,132
184,2,0.0028914830014733495,144,172
185,2,0.003187076804007205,097,163
186,2,0.006219508405507557,012,106
187,2,0.009479236115916612,040,015
188,2,0.011323193482342786,178,039
189,2,0.007530307660274405,087,144
190,2,0.010826350806004359,044,011
191,2,0.0011278024288923216,166,099
192,2,0.016264927406669627,107,101
193,2,0.01650886182352862,060,189
194,2,0.0039492636367736145,164,069
