,num_topics,scenario_r2,2,3,4,5,6,7,8
124,7,0.033499475307159354,199,040,088,140,116,035,115
125,7,0.02590170192705732,182,082,192,088,045,091,013
126,7,0.022716938625501393,062,004,078,132,007,174,167
127,7,0.04748863129238101,195,178,174,115,151,124,025
128,7,0.024694633065826088,045,114,096,031,062,168,158
129,7,0.02343410616430197,146,080,130,027,190,183,167
130,7,0.03132514605376324,014,164,077,034,084,131,116
131,7,0.05007470325485053,155,021,034,178,174,147,160
132,7,0.03234051240662106,118,055,044,124,011,116,127
133,7,0.027350623178700628,125,144,129,116,107,062,032
134,7,0.012920392783272616,196,167,132,113,056,119,042
135,7,0.02388344715441315,193,121,019,025,000,182,052
136,7,0.02728204724608807,065,079,117,060,027,045,098
137,7,0.056548045796069646,049,083,146,157,033,006,178
138,7,0.02614396365423921,129,049,055,013,085,141,142
139,7,0.021110152658205816,171,058,193,076,017,114,190
140,7,0.008211108227576314,077,060,094,057,103,027,107
141,7,0.0312823707360782,116,085,115,108,099,121,158
142,7,0.01453360442966245,051,089,047,019,038,158,087
143,7,0.02153483798921274,182,043,035,016,054,172,129
144,7,0.03150525553429395,193,033,021,094,151,188,062
145,7,0.06400032508500109,195,157,032,199,085,070,029
146,7,0.04407659590989965,170,163,161,012,175,123,041
147,7,0.02880780519902304,050,007,121,076,146,071,078
148,7,0.02803461058907264,074,134,191,161,039,050,088
149,7,0.0184566446185086,184,061,015,176,070,156,053
150,7,0.02254345973558136,073,051,014,081,072,127,016
151,7,0.019079809609667042,165,185,151,067,092,130,176
152,7,0.021186018442051258,191,102,070,122,138,148,017
153,7,0.010632778774496754,124,052,026,065,045,169,063
154,7,0.05521406110173699,116,119,132,048,124,157,140
155,7,0.04702647522576886,171,003,001,167,039,191,155
156,7,0.06297532876596545,098,001,096,133,029,157,132
157,7,0.03040364216476854,022,047,099,062,091,018,198
158,7,0.024809033249086787,134,150,018,057,015,019,152
159,7,0.03282081396957981,102,070,194,074,156,174,101
160,7,0.02363468065708707,097,076,033,165,106,014,006
161,7,0.028278572445923356,123,084,094,061,107,183,057
162,7,0.02007848272364887,035,125,152,001,062,067,003
163,7,0.03564516446068289,063,132,164,097,143,084,163
164,7,0.03845045007204784,017,029,171,054,064,079,039
165,7,0.02209015345780052,194,124,089,057,051,175,149
166,7,0.02142450365898907,017,052,060,134,174,192,004
167,7,0.01987503623428255,037,150,127,191,106,171,198
168,7,0.027670736048223343,027,133,132,142,166,011,115
169,7,0.021594656832735648,134,013,070,127,144,189,182
170,7,0.04040374794765744,185,069,123,087,119,017,078
171,7,0.02465664755655128,014,035,022,190,117,087,001
172,7,0.028844930131640578,192,026,172,123,106,168,018
173,7,0.039978166742955956,151,122,001,051,091,076,148
174,7,0.023988497906254902,034,050,049,035,130,191,160
175,7,0.03370531284124256,119,040,027,058,067,177,101
176,7,0.03321261082481719,143,081,092,091,106,188,094
177,7,0.03630395727647073,153,044,045,174,083,101,007
178,7,0.04853456424513514,066,031,016,113,044,033,188
179,7,0.033019361102077927,046,187,190,073,106,185,054
180,7,0.005201529655115222,077,140,069,027,063,048,084
181,7,0.014831678602700404,185,069,187,171,130,036,021
182,7,0.02606646100462806,044,071,075,171,178,048,023
183,7,0.025687099088868126,178,094,027,040,133,022,017
184,7,0.016000231626227324,152,005,013,050,168,193,064
185,7,0.026399812126377653,178,072,091,163,104,188,039
186,7,0.028001396817515678,042,164,125,172,003,082,114
187,7,0.031734800452913325,156,196,007,140,055,123,026
188,7,0.025510471696328252,025,019,000,059,105,003,161
189,7,0.015525640253714945,147,057,159,136,118,176,106
190,7,0.026929881675323397,106,141,188,109,055,165,022
191,7,0.03545855429236455,025,055,132,061,071,158,040
192,7,0.06107591361055387,051,040,016,049,054,053,155
193,7,0.03819397296285343,161,049,158,062,115,170,177
194,7,0.014192078588120882,038,076,102,045,190,117,106
195,7,0.04856449642014271,031,182,017,046,016,157,004
196,7,0.058995308291607484,129,157,067,037,110,021,048
197,7,0.045054484281120244,170,054,146,123,047,172,182
198,7,0.02248244726462989,019,141,059,178,091,107,165
199,7,0.016922300268471968,019,069,038,015,118,029,052
200,7,0.023722905885955048,069,178,015,087,116,146,108
201,7,0.03651506349711098,076,143,195,046,141,151,075
202,7,0.03974515695275338,047,070,148,167,076,195,146
203,7,0.011922717014089756,023,018,190,142,075,177,080
204,7,0.010913554479111354,084,133,047,199,196,171,147
205,7,0.024165293540951205,083,142,064,074,119,077,041
206,7,0.019202203997354395,063,107,055,119,106,190,061
207,7,0.038102793035588056,073,146,024,153,194,163,105
208,7,0.022291273358122643,113,042,001,107,080,021,136
209,7,0.020585987337808143,137,191,069,109,143,199,092
210,7,0.013896602308498318,003,199,174,110,056,067,191
211,7,0.027672218798809767,007,198,152,133,075,029,082
212,7,0.03556588928581983,114,166,195,198,181,048,133
213,7,0.03244612985353046,108,115,041,082,125,023,050
214,7,0.026426622941845612,088,089,171,178,035,141,073
215,7,0.0075544882788973755,196,175,183,085,047,018,015
216,7,0.021990706361996182,122,132,017,063,140,105,114
217,7,0.03382710975642844,141,184,195,131,192,114,091
218,7,0.03054049411796378,076,078,053,015,152,164,176
219,7,0.013960692379747841,194,114,131,168,171,046,188
220,7,0.04553109573035563,194,091,144,098,089,123,000
221,7,0.0681313298766929,177,189,123,124,109,155,175
222,7,0.015814832132656664,107,075,035,134,049,170,016
223,7,0.014787307165815,182,188,029,192,121,199,015
224,7,0.02830140556092864,147,069,123,144,148,048,174
225,7,0.02295548466536912,048,029,104,198,058,094,078
226,7,0.03942014044937159,097,022,041,172,090,033,182
227,7,0.031506939508722964,195,078,076,150,041,005,122
228,7,0.012674196930141268,037,012,185,116,193,047,000
229,7,0.025256772537441408,177,017,035,074,103,121,073
230,7,0.022958212073858286,156,023,192,022,177,034,019
231,7,0.03041949110226627,099,195,092,168,074,035,058
232,7,0.034520198624165555,098,105,163,107,174,078,091
233,7,0.01394294494372239,068,069,176,178,109,064,170
234,7,0.014649981895611952,039,066,191,103,169,137,113
235,7,0.02225906756816587,190,187,134,055,016,097,156
236,7,0.023401587394797585,122,013,074,120,004,077,156
237,7,0.050577258124756774,084,094,036,157,092,088,190
238,7,0.014951434124286789,103,189,023,012,165,063,176
239,7,0.04721962952190739,168,104,178,056,062,155,021
240,7,0.012438723418572994,107,191,014,183,196,012,067
241,7,0.08367448542044142,168,073,187,155,005,013,172
242,7,0.020706101742566596,017,163,007,056,143,072,018
243,7,0.019630150934586865,001,117,076,080,048,068,050
244,7,0.035136905538817986,177,014,120,025,142,016,183
245,7,0.009510587668012827,175,187,177,156,037,110,194
246,7,0.008067391287848613,069,153,158,063,039,015,169
247,7,0.04143240874302856,045,134,164,115,037,104,107
248,7,0.02796621094067231,022,168,127,079,021,161,142
249,7,0.018234161745157462,132,042,196,187,082,058,114
250,7,0.017175424840148668,161,159,008,092,189,196,099
251,7,0.03033141156874619,044,067,005,105,107,096,175
252,7,0.0325293332509059,149,172,171,106,133,110,115
253,7,0.05011526445066539,147,070,041,080,190,060,157
254,7,0.023712207683404762,026,043,174,150,007,193,105
255,7,0.01789242136356506,172,131,199,027,007,053,019
256,7,0.028007496409825583,195,065,018,055,171,035,013
257,7,0.029027482327070753,015,121,152,165,164,101,183
258,7,0.04267979423275903,130,105,058,127,048,188,155
259,7,0.02362963275604768,169,159,016,108,080,078,146
260,7,0.01607175854990217,077,104,082,106,003,190,097
261,7,0.01930403035547379,081,166,060,015,021,007,048
262,7,0.02889578094154588,076,081,150,029,089,023,045
263,7,0.0404125995578537,044,181,019,087,156,048,129
264,7,0.01591315453374398,087,056,070,130,082,176,125
265,7,0.022386566207973857,150,138,077,105,005,185,060
266,7,0.031071723518590888,116,146,076,082,032,033,006
267,7,0.04801768162618503,131,155,072,121,053,160,193
268,7,0.023766510030226895,018,045,024,055,064,078,147
269,7,0.02774935510325982,182,163,144,098,021,171,044
270,7,0.03111465389929957,069,003,158,074,146,049,018
271,7,0.02243114334406182,183,168,163,196,096,143,131
272,7,0.05249467208866554,026,159,174,051,158,169,157
273,7,0.022719707947770895,110,194,043,191,011,079,005
274,7,0.039793259129115466,110,074,091,055,054,148,051
275,7,0.020418598801996146,062,037,061,168,088,021,160
276,7,0.009884910841833183,122,108,081,031,039,176,119
277,7,0.020308215623092596,069,147,129,007,105,005,171
278,7,0.028948577873439185,120,092,152,027,194,052,090
279,7,0.021600883720212405,119,072,143,039,163,004,188
280,7,0.046785219686929724,008,033,047,114,085,130,123
281,7,0.015422704661719688,181,013,103,176,106,177,121
282,7,0.04275211204666762,050,141,044,164,088,022,127
283,7,0.02148675157705049,072,156,063,059,182,121,120
284,7,0.024944554120905238,148,115,122,039,038,108,170
285,7,0.044030977552436235,166,153,123,069,176,140,051
286,7,0.03630267471426607,051,046,044,083,007,185,082
287,7,0.06468265149946995,025,040,137,173,138,142,136
288,7,0.018457274051327355,156,084,079,007,082,026,058
289,7,0.01515876428346885,036,052,119,084,118,149,055
290,7,0.00861057952647204,113,090,026,191,130,081,198
291,7,0.032616101870641234,165,005,159,054,150,146,042
292,7,0.020985744921454552,012,177,168,051,008,117,046
293,7,0.030972761567067963,083,052,077,192,092,163,033
294,7,0.02297606987810019,024,156,084,147,119,199,052
295,7,0.03673338848380736,014,150,187,055,027,001,165
296,7,0.028109603797408123,138,003,190,165,198,079,062
297,7,0.025507475880154673,151,046,070,017,019,192,102
298,7,0.04114806724184572,089,083,091,171,008,017,033
299,7,0.023538208829121166,051,182,083,013,110,053,133
300,7,0.031247011221378074,047,001,199,003,089,120,018
301,7,0.01713812405839299,177,004,007,107,056,017,189
302,7,0.024612931804238514,045,114,048,024,026,029,085
303,7,0.04436927333471208,042,173,189,118,102,183,094
304,7,0.02790801931577258,191,019,156,142,054,159,066
305,7,0.00796175610537031,013,148,094,172,026,011,199
306,7,0.023042867169338455,147,178,036,045,116,129,141
307,7,0.03420450892624971,117,098,109,023,044,192,164
308,7,0.029889237509603817,084,110,101,059,178,026,001
