,num_topics,scenario_r2,2,3,4
64,3,0.011722827688637305,074,040,019
65,3,0.026215401231528435,168,121,123
66,3,0.009218764081818542,110,167,119
67,3,0.019501876738904245,148,164,005
68,3,0.011907559811653479,015,022,041
69,3,0.0011948634141762948,160,169,071
70,3,0.014367632924620843,001,061,057
71,3,0.00549479749567694,122,003,092
72,3,0.019940184016314477,085,199,164
73,3,0.01432063843336584,141,184,005
74,3,0.01567766712307217,183,178,150
75,3,0.012198174562623842,114,140,129
76,3,0.0016972676230535555,026,087,065
77,3,0.010459320029703956,189,043,191
78,3,0.00949654295298663,140,182,129
79,3,0.00849649984120271,131,183,075
80,3,0.0029371519127157075,069,004,165
81,3,0.0014230005132761514,043,152,177
82,3,0.01534176806414389,081,150,016
83,3,0.03908904806498115,157,058,035
84,3,0.01041459134004108,031,050,104
85,3,0.012007485952053809,059,012,064
86,3,0.002993685915782307,065,032,107
87,3,0.054287024256224115,155,141,166
88,3,0.020340403537478347,101,087,158
89,3,0.008543428070912795,043,039,143
90,3,0.0077834452604211846,192,069,076
91,3,0.0014539042114393164,014,068,072
92,3,0.020874006445530502,116,031,195
93,3,0.005940005017094574,027,078,125
94,3,0.01322407521140112,081,029,171
95,3,0.012744875378758347,051,000,158
96,3,0.0057571800471726275,169,118,050
97,3,0.021897609323537348,195,012,175
98,3,0.015227076581987742,057,024,196
99,3,0.0036151977745622066,085,160,178
100,3,0.004427206384164495,060,087,148
101,3,0.04185231638994846,083,155,137
102,3,0.015584174754152857,140,137,164
103,3,0.01596561359342219,064,166,006
104,3,0.01763160978724887,136,004,062
105,3,0.016884802888820216,041,091,076
106,3,0.008463587448084953,199,021,027
107,3,0.015886881340983705,120,114,031
108,3,0.00724717717814749,117,168,167
109,3,0.014298667539058285,053,131,060
110,3,0.012967411195718537,098,140,005
111,3,0.007819559149194744,108,064,170
112,3,0.003064921648526009,049,087,176
113,3,0.00510389875553563,035,050,184
114,3,0.013285207929304543,057,114,105
115,3,0.005582822677143495,018,042,117
116,3,0.024401820099300364,080,033,124
