,num_topics,scenario_r2,2,3,4,5,6,7
82,6,0.013868932286068558,051,173,188,132,011,192
83,6,0.005125895262766411,025,036,108,157,115,097
84,6,0.026768234956172754,121,157,152,190,183,173
85,6,0.014970111822658394,108,035,136,165,125,171
86,6,0.0015313229829090336,040,114,077,151,099,188
87,6,0.01277779849207572,066,192,189,048,078,195
88,6,0.015155511958132473,166,071,124,090,092,107
89,6,0.03957280895182358,125,007,127,153,014,157
90,6,0.010909590014553938,087,106,138,035,012,031
91,6,0.021034476737708974,159,027,122,119,004,079
92,6,0.06394572699132206,029,114,003,181,155,035
93,6,0.03751699099216632,131,105,088,170,168,003
94,6,0.024581132249058335,024,033,171,000,115,050
95,6,0.043087204589607686,131,062,061,025,147,185
96,6,0.03865927083649545,174,069,081,041,071,092
97,6,0.018065699963860427,040,190,006,036,049,064
98,6,0.032675987125675876,098,184,188,018,013,016
99,6,0.03612534417846225,198,076,168,190,042,195
100,6,0.022414631893552972,051,122,136,198,130,165
101,6,0.0318930322250236,109,172,158,011,001,119
102,6,0.009363864529813859,175,033,031,114,151,069
103,6,0.03890821640785047,161,059,005,074,101,114
104,6,0.021382294320394957,194,163,085,094,069,125
105,6,0.05073115253712113,066,114,026,054,034,053
106,6,0.011151315595210542,048,027,176,171,015,025
107,6,0.017310894505338736,092,142,132,083,077,160
108,6,0.030467716164726655,034,118,198,157,004,138
109,6,0.02717525013581923,067,015,048,057,098,165
110,6,0.028313865051192266,148,136,193,024,150,017
111,6,0.03840389038388958,065,158,129,130,014,063
112,6,0.021215900079418648,109,194,077,176,116,167
113,6,0.024120944955818624,078,119,000,050,129,151
114,6,0.03314406315880736,053,016,116,152,120,080
115,6,0.05443141275294494,155,088,107,087,077,175
116,6,0.05236450560051298,003,068,155,075,168,031
117,6,0.01141885168382395,133,038,122,105,066,056
118,6,0.03276253275628205,199,187,177,151,181,072
119,6,0.006594643351226281,198,105,132,175,108,072
120,6,0.0050617625594346904,061,042,129,096,090,007
121,6,0.025605981513269982,153,084,049,173,169,157
122,6,0.015814848369327006,158,065,142,011,119,082
123,6,0.03483146713276186,044,022,172,143,141,036
124,6,0.018502624395878575,107,164,069,113,171,040
125,6,0.01484039291064465,158,134,045,022,079,082
126,6,0.01989121308261177,039,176,153,142,104,119
127,6,0.04635978662996598,106,198,001,133,149,185
128,6,0.041326799512196866,176,087,079,026,149,129
129,6,0.01380837635889598,041,160,144,047,083,016
130,6,0.014792560849370084,160,087,146,198,066,043
131,6,0.027634225319138617,046,041,173,059,141,037
132,6,0.017638153311327454,116,043,073,098,048,006
133,6,0.029673640512820176,004,073,068,082,193,018
134,6,0.025036137239112022,079,003,175,165,109,181
135,6,0.02515615024826201,065,191,057,153,060,056
136,6,0.05325285672759594,136,192,042,054,061,173
137,6,0.019052388289902855,061,007,169,130,035,193
138,6,0.06760735522933681,037,091,029,155,038,054
139,6,0.02367935255324538,025,170,163,169,081,069
140,6,0.013595199088502374,163,019,130,152,115,058
