,topic_01,topic_02,topic_03,scenario_r2
470,075,190,065,0.018271419787311616
471,011,109,082,0.002991190162250912
472,013,047,063,0.008172794664997873
473,165,098,075,0.009137814693399582
474,065,066,137,0.002219384321940132
475,007,121,036,0.00423048172324425
476,088,152,037,0.020915596219274968
477,055,147,043,0.029730660223107774
478,021,085,157,0.004076907270446406
479,157,025,073,0.0008442558877117534
480,144,018,024,0.005279445864292853
481,046,193,138,0.02185799953545342
482,157,194,054,0.0070902368565790574
483,078,084,057,0.0016456154531836464
484,005,175,152,0.023761259009624225
485,167,144,149,0.004623402019813594
486,184,110,099,0.003457190462205051
487,004,017,178,0.015289592867876456
488,164,081,008,0.00173894385205009
489,061,198,177,0.004089060366643249
490,107,187,021,6.890906479772863e-05
491,038,143,073,0.012625047097624797
492,083,082,104,0.008473389189102898
493,021,027,132,0.0017330767520061796
494,118,053,033,0.0010026215640638325
495,042,178,122,0.0014898654859297755
496,124,146,058,0.0027732285676159707
497,151,130,039,0.007628674256274004
498,120,033,037,0.007334188182838375
499,080,187,161,0.019927125687013936
500,033,021,063,0.008483825775055465
501,137,055,146,0.0258142642141449
502,114,136,022,0.01222082598777241
503,144,157,160,0.0027426001339849737
504,130,013,115,0.014742801342928713
505,120,125,017,0.0005551795354346023
506,166,125,175,0.001400348144582786
507,198,199,071,0.002015841371099669
508,132,068,118,0.003256041716580449
509,011,099,132,0.0020453084075154893
510,004,008,094,0.014385016418791308
511,187,190,076,0.010473082388083532
512,147,080,066,0.04397256026960272
513,105,062,052,0.015170529473768068
514,117,185,177,0.0021579457188983797
515,032,003,172,0.013681264695499462
516,042,123,133,0.049553881317741966
517,043,142,168,0.009554082332623559
518,148,165,043,0.006018832202691171
519,032,117,192,0.00174973772589182
520,177,001,003,0.036015491043259296
521,132,041,063,0.0016737391499581644
522,199,096,052,0.0006634698747270962
523,077,033,116,0.009167177290451356
524,018,013,071,0.010974505903307397
525,148,191,190,0.006628217528121816
526,158,133,147,0.009172294111503998
527,038,059,132,0.007774029335253729
528,014,011,090,0.0015564296480298223
529,127,199,023,0.03547370200076694
530,075,123,072,0.046080822000177823
531,025,044,029,0.00850246034383384
532,106,118,171,0.0069165168968157165
533,071,054,110,0.02673145896135276
534,067,122,068,0.002788381830123976
535,032,065,084,0.0034979771551492123
536,105,155,156,0.03174325362686503
537,085,115,191,0.002446067888808079
538,029,164,187,0.021259203872131205
539,191,125,183,0.002779412121394431
540,173,017,141,0.013611782134206885
541,015,149,108,0.025054380499972106
542,032,122,168,0.003950127845173679
543,187,050,189,0.01676480388767909
544,054,023,079,0.03200264392206742
545,074,199,182,-3.9497116268716326e-06
546,007,114,136,0.0010911573105724104
547,019,089,017,0.0036462600234627995
548,196,067,198,0.0010788972194104574
549,063,129,124,0.02663761028837608
550,047,125,133,0.002221090388621394
551,195,185,039,0.011585212068589423
552,064,185,022,0.006429864516666273
553,171,038,062,0.0004597768561649396
554,087,062,184,0.018689940141507932
555,083,120,196,0.0004767516397550242
556,074,156,016,0.014324072691397238
557,113,134,160,0.010571903849087572
558,099,047,050,0.0015103045883787525
559,018,153,014,0.004411231671196059
560,174,035,012,0.027670152312962437
561,167,037,143,0.004056894736684802
562,195,031,121,0.008334901376746418
