,num_topics,evidence_r2,2,3,4
101,3,0.02255268257055243,083,155,137
102,3,0.06765881826158049,140,137,164
103,3,0.010477029498441648,064,166,006
104,3,0.04663041980944116,136,004,062
105,3,0.08452696887984601,041,091,076
106,3,0.006855777494014448,199,021,027
107,3,0.15044453392071855,120,114,031
108,3,0.007179483177126356,117,168,167
109,3,0.07297344987123333,053,131,060
110,3,0.018001129455488596,098,140,005
111,3,0.047472589032591106,108,064,170
112,3,0.004313715999877177,049,087,176
113,3,0.008217968466163073,035,050,184
114,3,0.030927761220281735,057,114,105
115,3,0.009599400506079658,018,042,117
116,3,0.023779413357339796,080,033,124
117,3,0.022960173300532127,004,037,054
118,3,0.04165129567408099,013,127,160
119,3,0.02415247274714416,156,031,088
120,3,0.001807058926511118,045,140,078
121,3,0.03727952971144155,177,017,031
122,3,0.05909418218638707,189,161,065
123,3,0.0035600268034338134,183,058,176
124,3,0.025664771686468968,021,163,057
125,3,0.010378245846574208,129,033,041
126,3,0.032170673867861765,005,102,018
127,3,0.06077557456422411,119,110,195
128,3,0.0976385210421784,022,042,163
129,3,0.008871528620942426,074,121,036
130,3,0.019192669640266558,094,029,015
131,3,0.0107789601028625,140,115,152
132,3,0.02313229956092888,117,163,198
133,3,0.005987449193248895,050,069,067
134,3,0.02501820345518846,096,005,163
135,3,0.06113877624307962,089,018,059
136,3,0.10938233740238268,163,034,023
137,3,0.04420024497801123,047,007,080
138,3,0.010896648252108232,014,068,019
139,3,0.005779424369389274,077,005,084
140,3,0.07096692545854988,159,146,088
141,3,0.009726558661344753,013,115,038
142,3,0.05091653077542169,040,063,055
143,3,0.01728210380622719,106,038,008
144,3,0.016728277542513825,046,138,106
145,3,0.08181530863213449,170,153,134
146,3,0.02024234519735102,004,106,194
147,3,0.054385689793635894,096,089,082
148,3,0.050517241220045195,146,189,183
149,3,0.1330059822834655,187,132,134
150,3,0.042111602842667906,165,141,073
151,3,0.0015954690819123263,129,099,184
152,3,0.05973559134309059,065,046,045
153,3,0.009072594252349075,012,115,137
154,3,0.008344885561406445,133,149,103
155,3,0.010725479226906698,012,056,018
156,3,0.07896755671776856,171,050,155
157,3,0.009525741664328624,042,051,129
158,3,0.05241594801548044,088,150,076
159,3,0.13338403678082655,067,173,022
160,3,0.19370102359021768,171,120,116
161,3,0.015870844557830277,060,059,149
162,3,0.0339876824038865,158,116,040
163,3,0.06076274618235733,150,052,158
164,3,0.04208830175605727,070,025,004
165,3,0.0005083629540950652,021,016,104
166,3,0.009322790277036641,013,130,014
167,3,0.07298378795019322,001,175,146
168,3,0.0128622142315441,107,015,178
169,3,0.039490752920697036,181,110,046
170,3,0.008767100673691353,142,149,000
171,3,0.031490607216627886,088,193,076
172,3,0.0613175519492517,024,048,087
173,3,0.10304436799784444,189,024,072
174,3,0.08193071864099244,171,078,152
175,3,0.08864456036521251,123,166,023
176,3,0.019437405786202788,074,183,092
177,3,0.029118537845857828,088,178,155
178,3,0.09196486232793044,101,190,199
179,3,0.006999065527443116,190,178,037
180,3,0.03236913763185356,007,088,015
181,3,0.0796225021922563,004,024,031
182,3,0.10833465873178094,173,044,148
183,3,0.027726863502553045,062,077,007
184,3,0.01796702917363313,124,167,035
185,3,0.015161482388595271,045,060,094
186,3,0.019281766258469002,018,182,115
187,3,0.017971004198171214,097,077,144
188,3,0.010080948609888618,178,063,130
189,3,0.029120642797174634,068,109,130
190,3,0.07907854924286972,142,104,022
191,3,0.015073134773012975,193,199,185
192,3,0.009383374112110099,178,078,195
193,3,0.04030601185353044,025,069,094
194,3,0.036644188647712905,025,064,151
195,3,0.03543429338539361,178,119,129
196,3,0.03086226743732068,132,172,004
197,3,0.02937137764503317,043,075,104
198,3,0.06938535583053795,142,122,023
199,3,0.0515653988840481,094,151,175
200,3,0.04608120965027607,039,043,079
201,3,0.06821351086750871,132,017,151
202,3,0.004389036002233393,077,165,174
203,3,0.038406495610763924,102,046,087
204,3,0.027441325594094623,159,082,192
205,3,0.07223000142573643,023,192,041
206,3,0.13048812043079372,024,057,173
207,3,0.016957568132224488,051,142,121
208,3,0.09470668490730294,023,116,043
209,3,0.03619181288362472,198,041,047
210,3,0.09292574214874327,091,178,170
211,3,0.10322259898543762,171,189,037
212,3,0.012359779417889794,199,190,107
213,3,0.00569587119407744,190,125,191
214,3,0.03679492046281685,108,149,105
215,3,0.06546845622647579,012,146,114
216,3,0.015695777954783496,036,090,079
217,3,0.041399327214968196,131,063,052
218,3,0.008480076862285801,049,001,037
219,3,0.05973403593063131,182,175,118
220,3,0.15102635194440783,120,096,124
221,3,0.07636695307237573,047,080,065
222,3,0.03734128304639284,016,141,039
223,3,0.05224915096907812,080,014,146
224,3,0.003731365261799735,167,040,129
225,3,0.004151254782205127,149,117,066
226,3,0.025392509770713945,048,033,066
227,3,0.010701989779674737,152,103,115
228,3,0.006507621677652287,057,125,153
229,3,0.1206031028285458,149,053,173
230,3,0.00852443113895962,167,060,137
231,3,0.0962905242703892,091,034,159
232,3,0.08385916407111105,023,069,163
233,3,0.03300901866604555,079,084,170
234,3,0.00904588392216632,152,067,029
235,3,0.028483284571273138,189,163,033
236,3,0.051646793696284776,034,191,037
237,3,0.05233257124892898,170,055,078
238,3,0.007394003397350191,199,190,027
239,3,0.005248661409691158,140,005,172
240,3,0.053431861800738,065,167,133
241,3,0.06514629401923033,005,184,072
242,3,0.06668466664464434,067,023,183
243,3,0.1096423448288305,098,134,136
244,3,0.08374294625297629,044,003,156
245,3,0.05111290293152837,141,121,079
246,3,0.03309718794688865,084,082,108
247,3,0.01643212011464079,077,105,062
248,3,0.03449500984271148,060,109,155
249,3,0.007241936781632652,147,005,155
250,3,0.09488231523104829,047,187,148
251,3,0.01775783812792875,014,059,115
