,num_topics,evidence_r2,2,3
367,2,0.0011230825640703435,199,049
368,2,0.003636866464442945,077,078
369,2,0.0016161996836623338,152,013
370,2,0.02985591022968781,102,193
371,2,0.009981271450736351,142,070
372,2,0.0007355893482016151,056,038
373,2,0.01089747842191413,037,063
374,2,0.01600516658264739,094,051
375,2,0.005877606708324823,165,096
376,2,0.027216859177208286,067,151
377,2,0.03547567671728302,031,127
378,2,0.033681375408040615,076,119
379,2,0.15161383702137776,120,161
380,2,0.004015628811563587,084,005
381,2,0.0038526571873709337,077,156
382,2,0.003171998620887573,104,077
383,2,0.05732854473350146,073,065
384,2,0.007537354352372128,121,161
385,2,0.0019875347215959627,061,199
386,2,0.007691316689078076,158,142
387,2,0.012727315531878003,105,082
388,2,0.01585335830438328,011,190
389,2,0.008271421888412012,121,138
390,2,0.03856202059980263,052,087
391,2,0.008452340104474265,129,130
392,2,0.01908534522109473,155,189
393,2,0.03909554818595351,047,193
394,2,0.0019517324253053303,152,061
395,2,0.007477711166871681,057,070
396,2,0.007895710925738042,029,013
397,2,0.01250291264287473,050,107
398,2,0.014826154753825094,140,144
399,2,0.011563235809241124,155,070
400,2,0.004391805401477433,117,177
401,2,0.025525788132871985,109,188
402,2,0.01848210264092154,000,175
403,2,0.0660572462093938,023,183
404,2,0.053624862409869856,057,065
405,2,0.0025696216294683882,005,147
406,2,0.009019146646303655,149,155
407,2,0.06611306127033467,052,017
408,2,0.0775283881599943,187,155
409,2,0.04768623238858383,136,114
410,2,0.08736753375151252,173,124
411,2,0.056335943268542965,132,146
412,2,0.017678396616292558,036,098
413,2,0.031633328470769495,114,069
414,2,0.010568555762344056,035,063
415,2,0.03906979094463181,127,018
416,2,0.02379858802540169,102,081
417,2,0.006546059880764732,035,005
418,2,0.0016487166210295001,140,026
419,2,0.003996033054258996,174,058
420,2,0.07267907919519556,187,143
421,2,0.04765073128340891,027,034
422,2,0.011724462544510983,152,018
423,2,0.021170260366079163,092,035
424,2,0.07879694697502093,075,171
425,2,0.033352081593398086,138,047
426,2,0.11472877051212393,171,065
427,2,0.01644985413599931,148,004
428,2,0.08326955789146562,164,004
429,2,0.004900025069565328,063,125
430,2,0.0016933758756967343,097,149
431,2,0.027474863095751534,081,088
432,2,0.014549707978398274,001,082
433,2,0.027173863327471293,169,124
434,2,0.04286692191931629,118,006
435,2,0.02498532078469995,169,193
436,2,0.0012099198631105867,137,066
437,2,0.01390945477290606,068,062
438,2,0.028032629285481003,161,047
439,2,0.007958771207072002,036,037
440,2,0.014366840375808598,099,144
441,2,0.02540318585255208,136,021
442,2,0.009391339507093477,195,165
443,2,0.0025930879394752138,140,174
444,2,0.18563842008378506,023,120
445,2,0.014532451493939003,027,073
446,2,0.00045339531655674836,049,075
447,2,0.004795377374619547,133,041
448,2,0.1524955848962084,170,120
449,2,0.07265627992070345,023,062
450,2,0.06728203039318659,164,122
451,2,0.0047965223333251705,143,063
452,2,0.069069860111584,164,156
453,2,0.02001243518618756,096,098
454,2,0.010414144563241412,005,059
455,2,0.044290009948640296,141,007
456,2,0.009754882769430928,160,189
457,2,0.02369060606467066,136,039
458,2,0.005769064387958878,198,012
459,2,0.01690271561890766,074,144
460,2,0.03502026404000336,116,199
461,2,0.016562873226287467,013,011
462,2,0.004896973589554432,005,063
463,2,0.005454502584600784,147,133
464,2,0.04286599825299431,131,034
465,2,0.013181379316505426,096,193
466,2,0.006874308807683582,037,105
467,2,0.028951729901319334,131,114
468,2,0.006242701438458287,029,001
469,2,0.029110304203748272,136,051
470,2,0.06715789932550309,043,055
471,2,0.0022330732623121463,147,038
472,2,0.03580831585920752,013,116
473,2,0.010031315692305087,018,113
474,2,0.0009724419096385217,032,194
475,2,0.020301532963070468,109,196
476,2,0.03127959711816475,108,021
477,2,0.00930412456822316,059,196
478,2,0.0628016330981912,196,072
479,2,0.0732375675509892,193,164
480,2,0.00740196881816646,027,172
481,2,0.05198021088244542,118,085
482,2,0.05220430346915195,118,059
483,2,0.022784038409504492,012,088
484,2,0.003276807171470053,172,105
485,2,0.017895010439283432,170,199
486,2,0.013274433476896275,062,183
487,2,0.09212011304710588,090,101
488,2,0.0003066113149550187,176,056
489,2,0.001292021560710288,090,021
490,2,0.0002881205233923323,026,176
491,2,0.06631786991448674,152,053
492,2,0.01453245149393867,073,027
