,num_topics,evidence_r2,2,3,4,5,6,7,8
223,7,0.02723173365815945,182,188,029,192,121,199,015
224,7,0.04255297804423375,147,069,123,144,148,048,174
225,7,0.040457525699754804,048,029,104,198,058,094,078
226,7,0.10710684340333854,097,022,041,172,090,033,182
227,7,0.03691276371548857,195,078,076,150,041,005,122
228,7,0.0713714509158434,037,012,185,116,193,047,000
229,7,0.04927105748044913,177,017,035,074,103,121,073
230,7,0.14988074638526772,156,023,192,022,177,034,019
231,7,0.03529455994670183,099,195,092,168,074,035,058
232,7,0.1163881055283218,098,105,163,107,174,078,091
233,7,0.037893021816164274,068,069,176,178,109,064,170
234,7,0.02795694082048672,039,066,191,103,169,137,113
235,7,0.15573471894185997,190,187,134,055,016,097,156
236,7,0.18799181875723858,122,013,074,120,004,077,156
237,7,0.19293064756557476,084,094,036,157,092,088,190
238,7,0.08464325102279402,103,189,023,012,165,063,176
239,7,0.02684781583880569,168,104,178,056,062,155,021
240,7,0.020325158762868445,107,191,014,183,196,012,067
241,7,0.12461532822987309,168,073,187,155,005,013,172
242,7,0.10975423458040634,017,163,007,056,143,072,018
243,7,0.026374280916284798,001,117,076,080,048,068,050
244,7,0.1763208601922216,177,014,120,025,142,016,183
245,7,0.10745169657406661,175,187,177,156,037,110,194
246,7,0.033984456305987454,069,153,158,063,039,015,169
247,7,0.1176936171733145,045,134,164,115,037,104,107
248,7,0.12439549995934673,022,168,127,079,021,161,142
249,7,0.11423469948940101,132,042,196,187,082,058,114
250,7,0.039759840248133504,161,159,008,092,189,196,099
251,7,0.051402821224233564,044,067,005,105,107,096,175
252,7,0.12452738355761062,149,172,171,106,133,110,115
253,7,0.18744484099499226,147,070,041,080,190,060,157
254,7,0.06547505482713678,026,043,174,150,007,193,105
255,7,0.08762188201631682,172,131,199,027,007,053,019
256,7,0.1526779554547092,195,065,018,055,171,035,013
257,7,0.12580449357663193,015,121,152,165,164,101,183
258,7,0.05823776176249229,130,105,058,127,048,188,155
259,7,0.10661188658774079,169,159,016,108,080,078,146
260,7,0.08679719951904319,077,104,082,106,003,190,097
261,7,0.050598538343491706,081,166,060,015,021,007,048
262,7,0.11779823362268582,076,081,150,029,089,023,045
263,7,0.056803971882361304,044,181,019,087,156,048,129
264,7,0.02917311458640892,087,056,070,130,082,176,125
265,7,0.04160282580101238,150,138,077,105,005,185,060
266,7,0.10007939213662587,116,146,076,082,032,033,006
267,7,0.12265178148867018,131,155,072,121,053,160,193
268,7,0.09621242871571933,018,045,024,055,064,078,147
269,7,0.14829489265358986,182,163,144,098,021,171,044
270,7,0.1176268673235703,069,003,158,074,146,049,018
271,7,0.033632509506889896,183,168,163,196,096,143,131
272,7,0.18473985158265693,026,159,174,051,158,169,157
273,7,0.08363041270251803,110,194,043,191,011,079,005
274,7,0.1475502469085036,110,074,091,055,054,148,051
275,7,0.045737886445455844,062,037,061,168,088,021,160
276,7,0.056574011738819485,122,108,081,031,039,176,119
277,7,0.09240552616131181,069,147,129,007,105,005,171
278,7,0.20159364427817672,120,092,152,027,194,052,090
279,7,0.13334489645931846,119,072,143,039,163,004,188
280,7,0.08971688350930429,008,033,047,114,085,130,123
281,7,0.022531558949389074,181,013,103,176,106,177,121
282,7,0.1729281202859766,050,141,044,164,088,022,127
283,7,0.21666229668045456,072,156,063,059,182,121,120
284,7,0.05464547868879677,148,115,122,039,038,108,170
285,7,0.03926621335721647,166,153,123,069,176,140,051
286,7,0.08856689081008462,051,046,044,083,007,185,082
287,7,0.12680360435785498,025,040,137,173,138,142,136
288,7,0.03767293323197596,156,084,079,007,082,026,058
289,7,0.11529666198479926,036,052,119,084,118,149,055
290,7,0.023369109766813834,113,090,026,191,130,081,198
291,7,0.06777499997795333,165,005,159,054,150,146,042
292,7,0.03758875314474375,012,177,168,051,008,117,046
293,7,0.09976373865166777,083,052,077,192,092,163,033
294,7,0.10202550350038486,024,156,084,147,119,199,052
295,7,0.1259105931952168,014,150,187,055,027,001,165
296,7,0.10255578783362818,138,003,190,165,198,079,062
297,7,0.0940703436416842,151,046,070,017,019,192,102
298,7,0.19682685428250624,089,083,091,171,008,017,033
299,7,0.1172162034816211,051,182,083,013,110,053,133
300,7,0.23887761766793403,047,001,199,003,089,120,018
301,7,0.08226038832535376,177,004,007,107,056,017,189
302,7,0.09073907488892641,045,114,048,024,026,029,085
303,7,0.142088934648668,042,173,189,118,102,183,094
304,7,0.025819616888294927,191,019,156,142,054,159,066
305,7,0.02780447591165769,013,148,094,172,026,011,199
306,7,0.06850583903601193,147,178,036,045,116,129,141
307,7,0.13943298509737945,117,098,109,023,044,192,164
308,7,0.11559711134389006,084,110,101,059,178,026,001
309,7,0.03976209875536585,038,046,166,051,014,181,192
310,7,0.19759838570174493,070,158,036,192,129,157,106
311,7,0.09684811636247959,189,036,022,153,098,026,063
312,7,0.1909886563648544,014,147,187,022,099,101,115
313,7,0.1962391181427492,184,033,120,005,013,016,087
314,7,0.055095776770562876,174,062,044,175,084,198,105
315,7,0.1888573331118173,181,081,142,107,157,018,090
316,7,0.1479689944916589,005,070,027,127,105,134,046
317,7,0.11445081213726715,052,011,147,182,012,150,108
