,topic_01,topic_02,topic_03,evidence_r2
199,195,192,094,0.023141085408180606
200,127,097,001,0.02811612718631029
201,166,077,147,0.0008055736417017512
202,076,189,015,0.007655913220809829
203,120,043,073,0.029468360013430672
204,079,068,110,0.0067527910699100024
205,041,152,032,0.0025667425411328715
206,065,047,116,0.04434877042556129
207,088,081,008,0.018152441129946295
208,032,199,131,0.009270063974748832
209,036,114,153,0.01053460756535507
210,094,000,006,0.020876949003959866
211,118,140,196,0.021113904199125177
212,149,137,104,0.017033503570985098
213,156,088,057,0.0239773248921874
214,088,036,199,0.022594959991351526
215,011,063,146,0.014907039227508134
216,158,041,190,0.016614008597471974
217,129,178,148,0.010599483623415784
218,163,113,125,0.02189229260147918
219,174,007,006,0.015028716673236686
220,033,092,018,0.017638140925675838
221,064,053,147,0.02132614880871231
222,090,065,178,0.03669714289984238
223,161,163,012,0.029818036702412565
224,004,152,159,0.02239504182444263
225,146,152,167,0.029899582981524175
226,158,063,165,0.024244124092526742
227,071,027,127,0.01669823099431389
228,138,011,084,0.0023670756120858227
229,143,013,134,0.039001849346594786
230,072,033,183,0.06431456498742394
231,064,098,051,0.005088981538153625
232,062,023,070,0.04485478546276822
233,134,097,091,0.034278783791405365
234,172,076,167,0.029926015021024877
235,166,148,089,0.01376312381969591
236,026,000,181,0.005173914419629666
237,098,167,102,0.027815475582969484
238,090,085,051,0.0065739084970977135
239,141,121,192,0.035850128685272376
240,130,004,195,0.02449420577517869
241,071,122,134,0.0063651583269724865
242,012,120,084,0.016888046168523463
243,182,168,163,0.026262333992251308
244,003,053,006,0.050539505884734215
245,083,064,188,0.004070610963531562
246,199,049,077,0.009084571781625028
247,078,152,013,0.03836515510116856
248,102,193,142,0.02799387108079321
249,070,056,038,0.02923970547770005
250,037,063,094,0.013314930806832104
251,051,165,096,0.010675486286312763
252,067,151,031,0.02101489074561602
253,127,076,119,0.017577699290126092
254,120,161,084,0.028725128349677997
255,005,077,156,0.01431836186756097
256,104,077,094,0.013278982175189857
257,080,073,065,0.03846810068536488
258,121,161,061,0.03626680984212227
259,199,158,142,0.02119026414580716
260,105,082,011,0.00966194967060563
261,190,121,138,0.02838371218988789
262,052,087,129,0.01927938097550219
263,130,155,189,0.011130474738762719
264,047,193,152,0.0378739238177509
265,061,057,070,0.007376857929923486
266,029,013,050,0.041535785045045404
267,107,140,144,0.007257324600915549
268,155,070,117,0.01991189584515385
269,177,109,188,0.01716374259288278
270,000,175,023,0.038425046898381665
271,183,057,065,0.02994068148875162
272,005,147,149,0.028096331515837014
273,155,052,017,0.01413208687982992
274,187,155,136,0.013586983008876508
275,114,173,124,0.009631349717312387
276,132,146,036,0.013796339492147203
277,098,114,069,0.012632366903290171
278,035,063,127,0.019311229068098568
279,018,102,081,0.010732388087322464
280,035,005,140,0.021322763134747125
281,026,174,058,0.02735392031393058
282,187,143,027,0.011675732189034727
283,034,152,018,0.02125936080423274
284,092,035,075,0.01755421709693883
285,171,138,047,0.017195082606405898
286,171,065,148,0.030511178435620012
287,004,164,063,0.02636597574274613
288,125,097,149,0.021435218701323144
289,081,088,001,0.02932617943191307
290,082,169,124,0.007160620944670182
291,118,006,169,0.02321455672799011
292,193,137,066,0.033426656641393104
293,068,062,161,0.023125956482118903
294,047,036,037,0.01666217785096391
295,099,144,136,0.01562950750070835
296,021,195,165,0.03416473953941468
297,140,174,023,0.04271795793067079
298,120,027,073,0.017174404101710672
299,049,075,133,0.013487194531115798
300,041,170,120,0.025906670939568666
301,023,062,164,0.045740040170521024
302,122,143,063,0.0051689999328131675
303,164,156,096,0.009268333028772613
304,098,005,059,0.016992625878020973
305,141,007,160,0.01534657464223288
306,189,136,039,0.012070470004875045
307,198,012,074,0.01523709563331066
308,144,116,199,0.02212252664242953
309,013,011,005,0.046469120490279736
310,063,147,133,0.0014400181895014574
311,131,034,096,0.01632054701983332
312,193,037,105,0.028639447830519638
