,topic_01,topic_02,topic_03,scenario_r2
333,106,185,068,0.011906998299050398
334,102,144,101,0.018270385065758066
335,193,046,189,0.027242983083664463
336,150,070,091,0.0010235010503900632
337,156,085,107,0.016690326097590358
338,085,101,017,0.018343655131404124
339,164,062,187,0.01663057827564307
340,024,106,078,0.007404019677830664
341,106,050,127,0.048473922778194845
342,052,196,107,0.003201841766587332
343,113,165,077,0.009811614448388406
344,169,088,089,0.02647649496781901
345,056,187,052,0.012066854222528622
346,069,141,065,0.006478538034256021
347,169,137,025,0.01965338480414447
348,192,049,064,0.0036154612336676273
349,160,014,018,0.006052737636622729
350,133,060,016,0.018324537438680344
351,057,130,087,0.02226424698129048
352,114,023,061,0.008565541301908342
353,189,141,152,0.014749565131928155
354,029,074,115,0.01988615867903576
355,072,166,121,0.003365197925609187
356,166,125,104,0.0013612623251105793
357,133,185,132,0.00911966437671774
358,193,037,021,0.0044546625001326
359,005,181,082,0.03661518916947204
360,015,102,158,0.010757031861458155
361,182,087,101,0.019654911919632423
362,110,124,161,0.004176577459491737
363,003,013,191,0.021215278616304123
364,072,117,153,0.0022015484572487365
365,170,036,056,0.014463122940943762
366,078,015,038,0.008418610829156514
367,053,167,113,0.010578598729982569
368,106,026,116,0.02558779658487509
369,056,150,012,0.009236881946997011
370,073,022,117,7.36822132451076e-05
371,116,035,040,0.0020672554037637347
372,187,070,039,0.009715610146715403
373,018,038,062,0.01958910099612876
374,192,016,137,0.02255509206551043
375,038,078,066,0.0014759761287708173
376,190,029,068,0.029311607109843263
377,103,105,000,0.003231222589365812
378,018,081,124,0.007081604604905811
379,195,092,194,0.027540558858455633
380,021,078,067,0.004759171854967992
381,165,034,171,0.010413698803265592
382,033,097,037,0.015226557372794547
383,177,070,013,0.01869228658512989
384,068,181,065,0.018292297235435684
385,094,118,075,0.021030203884104037
386,088,043,129,0.024047870192208998
387,152,040,183,0.004341394780491781
388,035,122,061,0.005169943320938675
389,091,050,189,0.020750089617842638
390,097,157,195,0.011639519623130035
391,127,094,091,0.04526039362897072
392,157,054,168,0.030403217002291205
393,058,059,098,0.017048267476750367
394,195,024,120,0.010288647249108274
395,087,131,114,0.004859509057569822
396,059,149,148,0.029633824920766494
397,117,130,074,0.008108967014779811
398,109,012,164,0.003460960759605669
399,131,058,025,0.0015082098516590037
400,129,159,050,0.018804714383111487
401,113,090,196,0.008910882519725827
402,083,167,099,0.002594487820056668
403,175,173,155,0.04338152842197185
404,160,118,121,0.0062546686059470336
405,158,116,115,0.005300081019510072
406,170,052,090,0.013437055930073383
407,113,026,105,0.019945968656022273
408,036,072,064,0.004323226565785321
409,001,022,078,0.024731150853879003
410,071,151,171,0.0007844784584357667
411,063,087,146,0.031167601025238967
412,055,018,163,0.01804734569084898
413,016,116,059,0.01496016315082771
414,173,115,031,0.01309650447800459
415,070,166,157,0.0011109652501483103
416,113,170,168,0.02650466408156338
417,056,034,155,0.03540743425323001
418,136,007,069,0.016343036399200206
419,169,101,108,0.022216655153598608
420,032,006,189,0.010606344557161251
421,199,123,072,0.04640093431948178
422,085,070,022,0.002296914766630742
423,153,182,121,0.0054303846851044835
424,039,140,074,0.011047859354634482
425,096,062,090,0.015626138442716986
426,043,000,085,0.01136837975210947
427,144,184,045,0.007060335029051568
428,148,066,069,0.008025342678695147
429,061,147,019,0.024112892256678675
430,161,189,076,0.013706212866277379
431,184,160,104,0.006611092874137303
432,056,024,021,0.013527822126107814
433,062,054,013,0.03991381851829101
434,035,017,065,0.004871946227418933
435,076,084,177,0.01878382690086744
436,149,133,189,0.023122786286212782
437,026,120,114,0.014698875123839383
438,158,036,049,0.006185208952242283
439,198,168,123,0.04940058322076246
440,098,199,099,0.008875039782148875
441,120,152,146,0.003791567703838483
442,163,198,062,0.019656638145897687
443,123,087,147,0.06063724805556914
444,046,012,105,0.023592208955867555
445,187,074,155,0.06690925949106796
446,120,172,140,0.0007152068630658093
447,108,141,194,0.009270077046553915
448,077,044,043,0.012970811391184611
449,184,015,116,0.01203754763036613
450,023,104,094,0.01738030854364847
451,070,023,169,0.01456294607249542
452,163,116,142,0.004226863955067883
453,147,013,191,0.02694983652029659
454,008,152,109,0.007947967729280858
455,062,019,118,0.02089866429950238
456,119,065,182,0.007403402384674407
457,037,039,199,0.012923583489322432
458,053,094,024,0.013176660420976205
459,134,149,058,0.02254331407711141
460,195,051,143,0.016907949809829237
461,130,161,131,0.0073300151889610365
462,173,021,133,0.017725649914490105
463,070,109,171,0.0018797685454410296
464,168,187,022,0.004334920761787653
465,029,089,169,0.025988258360041594
466,191,022,173,0.014642489546459192
467,029,173,031,0.030089635835731987
468,102,152,160,0.006215868266132185
469,090,057,158,0.013150854122726652
470,075,190,065,0.02211325348394033
471,011,109,082,0.00854912035213462
472,013,047,063,0.0250104687239191
473,165,098,075,0.01619696587605557
474,065,066,137,0.016961062527307114
475,007,121,036,0.005858261251858843
476,088,152,037,0.020707493608055905
477,055,147,043,0.030856840920059803
478,021,085,157,0.004784165185788836
479,157,025,073,0.0010111939765493627
480,144,018,024,0.006436823962405525
481,046,193,138,0.023141543720289204
482,157,194,054,0.03396595939057789
483,078,084,057,0.010858586218100541
484,005,175,152,0.030325264290657516
485,167,144,149,0.025494615299745726
486,184,110,099,0.003547879469687598
487,004,017,178,0.015728889230052112
488,164,081,008,0.0015259169728698563
489,061,198,177,0.018765707229550177
490,107,187,021,0.0024656970228973396
491,038,143,073,0.012558506555670923
492,083,082,104,0.008266177315882972
493,021,027,132,0.0022880392360613566
494,118,053,033,0.008991424187046793
495,042,178,122,0.0035619799822438347
496,124,146,058,0.00400317617049295
497,151,130,039,0.020573487986207284
498,120,033,037,0.008998500970212153
499,080,187,161,0.01985345459462684
500,033,021,063,0.026231729375692736
501,137,055,146,0.02560637147247946
502,114,136,022,0.0121032710880975
503,144,157,160,0.004530313521982521
504,130,013,115,0.014659850105823713
505,120,125,017,0.0034186680928438573
506,166,125,175,0.00395618659953012
