,num_topics,scenario_r2,2,3,4,5,6,7,8
40,7,0.04571660510569653,077,035,155,032,104,041,109
41,7,0.0315444899926034,177,136,051,104,015,087,199
42,7,0.03005856493736858,085,199,064,174,035,171,014
43,7,0.030451415620029842,012,165,140,077,062,029,171
44,7,0.022907697900424684,106,013,171,074,069,055,108
45,7,0.009200484861896063,065,184,091,153,151,074,108
46,7,0.04696005286310734,054,057,091,017,023,185,043
47,7,0.041212504360088165,189,073,155,109,074,014,141
48,7,0.051275926179339404,081,192,085,032,127,170,137
49,7,0.06894570190881577,014,147,055,192,134,163,123
50,7,0.013764899945880482,125,036,099,022,081,082,104
51,7,0.021053655698373364,183,031,058,059,124,106,035
52,7,0.034364059438489525,031,182,013,052,120,005,170
53,7,0.026209021552936584,104,158,163,105,106,074,194
54,7,0.02608436248309831,044,108,158,170,090,037,061
55,7,0.026142633858610265,168,184,199,185,039,171,119
56,7,0.020076460632262094,097,195,188,072,133,019,091
57,7,0.03397899009172711,146,169,133,099,193,007,026
58,7,0.014681027833392535,078,064,125,012,077,053,032
59,7,0.05321549682501159,167,159,007,119,178,044,005
60,7,0.0186163712684414,059,119,065,069,193,081,011
61,7,0.05324898839609582,025,118,149,151,137,001,053
62,7,0.035950838952118036,117,061,034,050,136,176,175
63,7,0.017738258483271818,183,107,039,025,122,138,052
64,7,0.04578909725822089,196,038,174,155,012,124,008
65,7,0.021003848355418353,136,017,070,184,099,165,091
66,7,0.04750443102450852,188,006,167,073,134,155,110
67,7,0.018386543145095358,066,043,164,160,163,076,131
68,7,0.07197523685061258,190,068,011,168,147,063,153
69,7,0.04532777119178666,195,174,013,113,175,122,069
70,7,0.023453681455478104,169,060,074,099,069,109,072
71,7,0.020536096932698866,188,066,070,071,029,150,007
72,7,0.025273289751237327,098,035,042,014,099,029,199
73,7,0.0048726729590455875,008,104,038,142,018,025,036
74,7,0.04704393373125726,138,141,192,194,099,066,123
75,7,0.015012766379583486,042,119,108,120,061,144,140
76,7,0.0506508834228484,134,123,164,091,042,157,085
77,7,0.08802977397653078,155,163,127,097,194,044,012
78,7,0.016659061093429406,146,134,055,196,083,069,151
79,7,0.011610258670585405,184,036,131,164,068,142,124
80,7,0.039664498336695275,110,055,178,117,177,171,153
81,7,0.02533893567344747,082,057,175,037,117,140,182
82,7,0.047164934647695334,194,183,089,177,047,041,046
83,7,0.041536097012109696,041,169,149,172,057,117,144
84,7,0.06373495626395631,041,001,026,107,177,190,196
85,7,0.026446777136474697,085,182,006,120,190,089,013
86,7,0.01840632853179025,172,071,091,075,138,161,003
87,7,0.03771143390221798,004,144,069,105,001,140,192
88,7,0.04935023429831453,161,082,122,155,038,061,130
89,7,0.02134110087504637,168,072,150,060,159,163,121
90,7,0.05758473928449437,096,105,029,118,004,044,116
91,7,0.024212039944337294,067,053,004,073,099,195,114
92,7,0.03649523617454076,070,008,113,054,193,121,007
93,7,0.05206943533858688,150,088,052,156,174,091,122
94,7,0.020953592376859342,074,003,187,151,059,168,077
95,7,0.054238537613670146,001,046,166,105,121,157,182
96,7,0.010817691201492896,158,091,007,166,132,188,108
97,7,0.03295202217677151,015,189,040,161,137,107,084
98,7,0.039406380470603186,191,085,177,109,075,189,057
99,7,0.010519658588646008,049,070,075,091,198,099,102
100,7,0.025107328117489613,138,175,008,157,184,053,177
101,7,0.014936500851415513,130,146,031,038,027,032,129
102,7,0.029477508922428064,004,137,096,198,076,021,129
103,7,0.01982050080104869,189,114,140,012,036,049,034
104,7,0.026128457766198765,108,071,164,098,190,146,073
105,7,0.016165192452123,102,061,103,153,119,083,158
106,7,0.04790858008031995,016,089,026,008,132,119,143
107,7,0.050180774851078525,038,085,037,199,143,044,136
108,7,0.0530233235201274,039,076,155,058,166,064,134
109,7,0.06673275742222928,159,007,013,051,123,001,122
110,7,0.020294247492878115,168,006,106,047,032,066,163
111,7,0.03742072357416826,174,105,117,070,035,068,094
112,7,0.06547972495396603,172,184,123,062,075,094,133
