,num_topics,scenario_r2,2,3,4
204,3,0.007876400607339185,159,082,192
205,3,0.009500151494989062,023,192,041
206,3,0.019219761576032335,024,057,173
207,3,0.002752628625985798,051,142,121
208,3,0.014806373755317237,023,116,043
209,3,0.0038277370963448742,198,041,047
210,3,0.011555580831063117,091,178,170
211,3,0.01100012458752564,171,189,037
212,3,0.010679677145427835,199,190,107
213,3,0.01465905825404834,190,125,191
214,3,0.02098980746282575,108,149,105
215,3,0.0008511024482975582,012,146,114
216,3,0.002447249506364768,036,090,079
217,3,0.02682821882724551,131,063,052
218,3,0.02661348724344703,049,001,037
219,3,0.004668987162475324,182,175,118
220,3,0.0035922367929112076,120,096,124
221,3,0.026374048799076566,047,080,065
222,3,0.023101161070130383,016,141,039
223,3,0.021161957004941834,080,014,146
224,3,0.0029941164944957688,167,040,129
225,3,0.0244075506054372,149,117,066
226,3,0.008098649739361807,048,033,066
227,3,0.0041972479147152075,152,103,115
228,3,0.011236617198321475,057,125,153
229,3,0.027472751768343406,149,053,173
230,3,0.01653348369968899,167,060,137
231,3,0.009011197854769892,091,034,159
232,3,0.013857063422394567,023,069,163
233,3,0.010116009414686489,079,084,170
234,3,0.026085249654264397,152,067,029
235,3,0.02043420170315735,189,163,033
236,3,0.01507456809269081,034,191,037
237,3,0.020862189745127213,170,055,078
238,3,0.010819100881771626,199,190,027
239,3,0.027611757499049983,140,005,172
240,3,0.010088304804399928,065,167,133
241,3,0.02780807768668736,005,184,072
242,3,0.010690302260590756,067,023,183
243,3,0.02097955547596253,098,134,136
244,3,0.024083230362565322,044,003,156
245,3,0.0032439085086075625,141,121,079
246,3,0.011319351270469236,084,082,108
247,3,0.016177101466436028,077,105,062
248,3,0.036178488284443144,060,109,155
249,3,0.05426536995829001,147,005,155
250,3,0.006439058040300094,047,187,148
251,3,0.007243836790652991,014,059,115
252,3,0.015280315843006043,196,138,143
253,3,0.0017809727791676666,103,134,151
254,3,0.011069766490266919,039,110,167
255,3,0.004599439162454422,107,019,110
256,3,0.006527440542459795,119,084,182
257,3,0.03710561471094265,176,127,198
258,3,0.001577222394194444,022,040,067
259,3,0.01807883330767257,188,092,060
260,3,0.0014455150031306152,110,027,114
261,3,0.0009141448021047216,131,146,058
262,3,0.006738834776025993,120,060,027
263,3,0.008812760172798972,141,066,169
264,3,0.05060118928302604,012,123,068
265,3,0.007603910175443485,059,161,073
266,3,0.009837875062832624,159,011,059
267,3,0.003771826129684408,164,069,053
268,3,0.0004672276954077459,074,070,035
269,3,0.016510921785413135,110,130,013
270,3,0.007897229794697536,195,104,051
271,3,0.0398100064693222,147,062,133
272,3,0.0038219262686830513,038,019,097
273,3,0.012513963833284847,081,151,143
274,3,0.00812166992268204,194,025,134
275,3,0.0071679533572845955,037,194,131
276,3,0.0010484297175378243,164,161,107
