,num_topics,scenario_r2,2,3,4,5
259,4,0.001195567702452438,108,066,140,193
260,4,0.02778232973972361,150,125,062,055
261,4,0.03244787685595252,147,170,106,185
262,4,0.00994834362494279,158,118,089,175
263,4,0.020235950736780972,047,138,076,181
264,4,0.020668192915299866,148,082,091,015
265,4,0.03041685452230769,029,099,075,051
266,4,0.016960302699779106,131,092,059,053
267,4,0.017056119976229356,189,057,187,199
268,4,0.019980474822441363,067,034,055,172
269,4,0.024668022156405178,163,040,050,121
270,4,0.018198727665862835,073,137,117,119
271,4,0.02909940458976512,001,172,064,121
272,4,0.00850631013819636,152,166,052,081
273,4,0.019025186107256342,042,022,169,194
274,4,0.041324062430374786,004,099,174,163
275,4,0.030989276754663786,147,037,109,003
276,4,0.024313580538893653,032,092,183,015
277,4,0.017411616850786626,103,110,189,013
278,4,0.030184357193518196,198,137,000,143
279,4,0.040359627917776475,192,063,048,101
280,4,0.018539248516301843,003,070,153,057
281,4,0.0011708712000669808,115,167,066,120
282,4,0.012619046863536876,163,188,082,079
283,4,0.03096829712196969,041,122,013,001
284,4,0.03478524756782808,060,094,029,183
285,4,0.0007908501452045247,035,006,084,079
286,4,0.049522999763281006,065,054,113,174
287,4,0.012812503563400468,134,066,114,169
288,4,0.038437518986702,176,156,098,055
289,4,0.044613036573377673,031,001,113,044
290,4,0.023440680680702264,101,061,117,023
291,4,0.006552808070074856,119,074,051,192
292,4,0.023899836031525346,116,156,023,068
293,4,0.029633946514379006,039,082,056,106
294,4,0.00906240852510165,140,099,133,159
295,4,0.0052857763538763924,161,148,022,187
296,4,0.016598387987193708,175,004,178,061
297,4,0.03023508535453212,036,003,101,076
298,4,0.0174959378559163,183,050,146,077
299,4,0.00361920571078278,097,196,069,027
300,4,0.014459568839021775,137,064,183,051
301,4,0.02041375734299755,146,062,091,037
302,4,0.042778176231295095,164,054,088,035
303,4,0.04971753343011365,001,168,190,106
304,4,0.017098107404081797,119,188,187,098
305,4,0.022994519035282268,019,196,088,067
306,4,0.035864051199305025,001,107,074,088
307,4,0.026213506257036334,019,184,147,031
308,4,0.03541398574078913,146,003,156,170
309,4,0.04901713650614148,004,022,029,044
310,4,0.04510564120925942,147,046,184,041
311,4,0.008717908046311562,192,138,130,165
312,4,0.028769088963267686,157,062,029,008
313,4,0.004010466562751724,053,109,191,199
314,4,0.013252907551899673,108,031,173,035
315,4,0.04980000036134269,027,123,096,161
316,4,0.019085608713801272,177,012,031,067
317,4,0.02121455623995694,173,148,042,060
318,4,0.020847219511568427,043,150,136,035
319,4,0.006633983221068562,158,047,140,022
320,4,0.03656674300769214,024,001,050,102
321,4,0.024507476951769802,060,132,012,156
322,4,0.024426122472813838,094,026,175,053
323,4,0.013338458852101609,190,125,164,099
324,4,0.014907664792784492,195,176,110,007
325,4,0.01358543193155548,157,069,087,163
326,4,0.006367140998806642,148,161,041,196
327,4,0.04610544600373967,059,108,080,174
328,4,0.019860433172088077,102,045,110,026
329,4,0.024427422425452372,097,089,143,195
330,4,0.022122920338097707,169,079,026,036
331,4,0.02674518405493731,192,085,063,108
332,4,0.058686616430580374,048,155,075,029
333,4,0.019321874642712067,110,074,016,033
334,4,0.015655903334063304,150,012,169,189
335,4,0.005511689991939406,089,097,118,134
336,4,0.027319659644971628,191,045,035,001
337,4,0.06198367117479986,036,177,123,016
338,4,0.026461353379428232,168,056,195,194
339,4,0.029670101680917993,082,001,142,138
340,4,0.05212507498187069,077,183,156,123
341,4,0.02299943584800379,150,081,039,170
342,4,0.014640739444047202,082,118,084,098
343,4,0.05130892068367232,029,042,088,063
344,4,0.02686738259284427,072,063,077,011
345,4,0.01635130582423372,051,157,004,105
346,4,0.006093199425951101,148,105,161,104
347,4,0.0250289627488145,191,121,150,063
348,4,0.014349311624820227,068,119,076,193
349,4,0.0361904994088581,138,068,046,080
350,4,0.05585099101267521,044,110,155,070
351,4,0.030040399272686646,191,044,133,055
352,4,0.0282709202275383,033,063,042,087
353,4,0.0031686487237890804,138,187,035,065
354,4,0.0133834513603861,164,131,094,144
355,4,0.028759983469072714,056,182,048,080
356,4,0.00650205007014204,141,171,133,175
357,4,0.03175990965769626,040,005,073,118
358,4,0.01828405490910967,069,148,143,079
359,4,0.01439246057716026,036,192,113,185
360,4,0.03162613107560608,054,189,193,102
361,4,0.014753556939899548,176,036,181,040
362,4,0.03807084156336371,031,121,043,127
363,4,0.031009269045231935,174,036,053,034
364,4,0.025718486081585445,138,143,117,168
365,4,0.012892413002354552,044,196,117,169
366,4,0.00814466871130104,036,032,160,077
367,4,0.010851054609635868,067,187,096,169
368,4,0.04112130952464543,174,032,041,136
369,4,0.015194804580532684,105,169,081,069
370,4,0.023899018150744356,190,194,178,015
371,4,0.010588950547418374,024,066,067,113
372,4,0.01855823061829842,004,141,187,034
373,4,0.035613776906779804,001,181,099,084
