,num_topics,evidence_r2,2,3,4,5,6,7
59,6,0.06884484723365347,182,078,170,110,167,127
60,6,0.11734373374636098,171,143,043,007,045,089
61,6,0.035421268677412576,168,035,059,109,137,075
62,6,0.10292676141464752,018,168,108,155,058,072
63,6,0.022175198569634902,005,103,117,189,073,042
64,6,0.04651123045493277,060,165,080,050,108,038
65,6,0.1234658026478046,044,005,024,116,056,164
66,6,0.1550410463594437,196,168,106,120,133,132
67,6,0.08757925034069558,047,014,146,184,084,117
68,6,0.0640921731490538,069,133,192,089,160,185
69,6,0.08609578546327967,094,105,176,155,065,025
70,6,0.03853535680724518,152,140,092,096,098,161
71,6,0.11067784683480908,057,177,171,031,007,151
72,6,0.0203306639418801,140,138,041,012,060,155
73,6,0.11027100343292717,143,118,164,188,195,066
74,6,0.13088039584349398,189,091,133,141,025,054
75,6,0.11538687133115633,080,185,142,173,199,052
76,6,0.10412194692345944,027,168,159,199,101,074
77,6,0.1445190430638238,032,148,132,072,091,055
78,6,0.020350341053979815,124,016,178,183,041,035
79,6,0.03330062437210268,163,189,005,121,000,038
80,6,0.04311149704537298,066,004,175,147,131,035
81,6,0.04016577930665177,104,163,041,044,087,033
82,6,0.11935012374103715,051,173,188,132,011,192
83,6,0.21957565656813016,025,036,108,157,115,097
84,6,0.19236394982292504,121,157,152,190,183,173
85,6,0.1080295158031247,108,035,136,165,125,171
86,6,0.05620874553905353,040,114,077,151,099,188
87,6,0.03737103661152186,066,192,189,048,078,195
88,6,0.04470594567269115,166,071,124,090,092,107
89,6,0.20687038845726846,125,007,127,153,014,157
90,6,0.01680638968592285,087,106,138,035,012,031
91,6,0.07876926656659822,159,027,122,119,004,079
92,6,0.10095766332526979,029,114,003,181,155,035
93,6,0.09517434837693828,131,105,088,170,168,003
94,6,0.151988488919238,024,033,171,000,115,050
95,6,0.03401124059258975,131,062,061,025,147,185
96,6,0.02483525615849791,174,069,081,041,071,092
97,6,0.012844878389281056,040,190,006,036,049,064
98,6,0.030599340709566047,098,184,188,018,013,016
99,6,0.023667391601751908,198,076,168,190,042,195
100,6,0.04482670152660284,051,122,136,198,130,165
101,6,0.06737431550655304,109,172,158,011,001,119
102,6,0.08233693497087358,175,033,031,114,151,069
103,6,0.12771689858648239,161,059,005,074,101,114
104,6,0.04697833862155598,194,163,085,094,069,125
105,6,0.10634089671290547,066,114,026,054,034,053
106,6,0.12332486541699006,048,027,176,171,015,025
107,6,0.047549331484556534,092,142,132,083,077,160
108,6,0.23765958616530214,034,118,198,157,004,138
109,6,0.03500553548440444,067,015,048,057,098,165
110,6,0.10019423417171625,148,136,193,024,150,017
111,6,0.06532568758883761,065,158,129,130,014,063
112,6,0.05374305537276358,109,194,077,176,116,167
113,6,0.06139194311420326,078,119,000,050,129,151
114,6,0.18432462595777843,053,016,116,152,120,080
115,6,0.06038739068031629,155,088,107,087,077,175
116,6,0.07361163110886049,003,068,155,075,168,031
117,6,0.006181483269394272,133,038,122,105,066,056
118,6,0.14555829829717848,199,187,177,151,181,072
119,6,0.10162548960352069,198,105,132,175,108,072
120,6,0.0181427807029787,061,042,129,096,090,007
121,6,0.18976032351219352,153,084,049,173,169,157
122,6,0.09591045463682746,158,065,142,011,119,082
123,6,0.11440405949371413,044,022,172,143,141,036
124,6,0.133930331038407,107,164,069,113,171,040
125,6,0.11683347690626211,158,134,045,022,079,082
126,6,0.041550867042522754,039,176,153,142,104,119
127,6,0.021101518941045172,106,198,001,133,149,185
128,6,0.021310207987502383,176,087,079,026,149,129
129,6,0.05502868732728716,041,160,144,047,083,016
130,6,0.07641136582306296,160,087,146,198,066,043
131,6,0.1206212381986208,046,041,173,059,141,037
132,6,0.06795674334148671,116,043,073,098,048,006
133,6,0.0644608349795075,004,073,068,082,193,018
134,6,0.11168930136993838,079,003,175,165,109,181
135,6,0.06563007271943455,065,191,057,153,060,056
136,6,0.11212419299980103,136,192,042,054,061,173
137,6,0.04045115907822694,061,007,169,130,035,193
138,6,0.12662080803055764,037,091,029,155,038,054
139,6,0.06099935941354584,025,170,163,169,081,069
140,6,0.04981783203335388,163,019,130,152,115,058
141,6,0.1940727967204814,050,181,080,053,044,157
142,6,0.028896887221767198,019,165,103,060,033,194
143,6,0.10121174446868553,163,184,023,189,074,123
144,6,0.047560305415411896,039,062,170,084,049,169
145,6,0.13060388366365627,188,181,014,119,171,024
146,6,0.10672481950767254,008,159,011,005,134,046
147,6,0.007907994044221378,125,006,012,041,160,188
148,6,0.09999577099581602,048,069,065,142,102,175
149,6,0.1564155564766666,107,105,120,073,152,077
150,6,0.04568182927754949,027,085,043,184,049,124
151,6,0.05413759086347447,038,090,142,196,047,169
152,6,0.021805089048083426,050,006,113,078,080,123
153,6,0.028231921888499323,124,074,167,090,182,177
154,6,0.07907976812392292,098,081,033,089,130,021
155,6,0.05652810526679941,041,068,065,117,194,131
156,6,0.011731711344522777,013,129,054,067,140,185
157,6,0.12520014732002438,022,175,122,155,136,025
158,6,0.03364244003416794,076,182,191,189,027,026
159,6,0.12169736297360734,108,019,195,057,173,079
160,6,0.06284297738497313,043,094,147,114,097,113
