,num_topics,scenario_r2,2,3,4,5,6,7
262,6,0.007648893408844115,140,077,185,072,041,144
263,6,0.027644186190879272,150,046,032,169,097,114
264,6,0.05072440936360145,165,015,022,125,155,191
265,6,0.021396372994070934,141,042,096,036,003,104
266,6,0.02300018161771844,136,003,004,177,181,019
267,6,0.030729859187463404,119,129,132,115,016,031
268,6,0.03235855165693757,125,192,013,195,120,116
269,6,0.0165287187408798,132,088,080,063,124,130
270,6,0.003443574568428809,068,014,089,147,000,107
271,6,0.029816114843273955,018,098,027,084,025,194
272,6,0.01889731925266025,153,021,125,079,061,152
273,6,0.01570010808468536,079,118,052,076,026,167
274,6,0.02756938352569127,034,004,150,109,023,196
275,6,0.024680975710954622,189,163,077,194,198,091
276,6,0.007899973328140297,084,038,170,067,148,125
277,6,0.027050113786623142,166,006,097,165,065,141
278,6,0.02703432654660265,000,141,074,113,181,037
279,6,0.021395640356558943,039,011,101,032,178,015
280,6,0.02574425135927716,055,104,191,053,047,027
281,6,0.031375190128435815,104,011,062,025,069,099
282,6,0.01721668980925961,192,147,059,137,080,120
283,6,0.0034460245908823905,161,188,192,000,004,094
284,6,0.018871357108477205,107,052,151,059,096,031
285,6,0.04573455793187886,173,133,103,117,036,005
286,6,0.00717884377758804,094,125,147,193,012,004
287,6,0.025886092418448192,129,003,007,153,091,163
288,6,0.04436185058333231,171,190,067,016,019,155
289,6,0.012420531120363343,158,102,049,005,193,014
290,6,0.020002875747948345,016,079,094,106,097,107
291,6,0.0316783110855311,190,159,034,110,171,164
292,6,0.020980182084745613,051,148,053,039,043,130
293,6,0.04531041994285134,104,199,049,147,173,191
294,6,0.02617767247262648,046,124,189,150,065,125
295,6,0.0444338057024426,149,063,184,124,155,078
296,6,0.013199123243644695,147,189,043,177,116,114
297,6,0.010012292862429994,059,016,118,067,170,194
298,6,0.03953867757912022,146,097,007,036,025,053
299,6,0.03013788761482472,079,053,026,137,101,120
300,6,0.02384757942103022,106,176,142,174,141,001
301,6,0.015531299803217546,003,156,107,050,065,181
302,6,0.00882361784008423,119,063,137,081,184,049
303,6,0.017257278078876004,036,018,119,098,184,159
304,6,0.01937500729994912,033,144,087,183,049,171
305,6,0.011061282951595697,031,198,103,019,012,004
306,6,0.00414890109860877,099,089,049,036,056,159
307,6,0.02121873857246237,052,034,023,153,045,076
308,6,0.028127114370817607,061,148,165,087,123,108
309,6,0.016696331319489666,072,060,149,006,196,079
310,6,0.028396485478047295,196,153,078,034,134,079
311,6,0.0378104208560992,047,115,188,054,074,116
312,6,0.03291217162517335,193,039,029,164,003,141
313,6,0.008806392298835175,058,188,083,011,159,042
314,6,0.011827253991686715,050,023,167,092,087,043
315,6,0.02567843257376945,062,015,076,129,188,026
316,6,0.011509837478883012,084,068,094,066,178,172
317,6,0.018870239114871734,049,082,029,127,121,089
318,6,0.02208052765420676,168,105,022,156,116,090
319,6,0.007147878452272605,176,067,015,161,196,006
320,6,0.032696380208514286,123,052,110,184,151,013
321,6,0.027350790496374455,156,124,060,025,023,064
322,6,0.021117597868038795,032,055,109,183,176,096
323,6,0.008014347707997804,165,081,005,056,192,004
324,6,0.025040790192235596,057,024,150,063,048,058
325,6,0.0588450993778622,157,131,050,070,110,194
326,6,0.01517855596707085,015,072,021,147,024,038
327,6,0.024976992892770222,147,071,174,146,118,012
328,6,0.05408393977827419,157,183,021,117,158,087
329,6,0.03572443798020353,103,178,173,018,084,159
330,6,0.019773958569484384,196,187,170,037,062,069
331,6,0.008562734316166054,063,032,118,026,117,184
332,6,0.009745405942758634,185,035,056,000,187,103
333,6,0.0013983270014709115,080,084,058,178,094,071
334,6,0.026408628233438702,051,027,003,040,062,104
335,6,0.02415682293577104,025,096,006,169,026,109
336,6,0.03350859536723261,134,075,056,184,044,026
337,6,0.01895302325650494,103,167,148,101,153,161
338,6,0.05843027257407041,105,101,157,172,132,121
