,num_topics,scenario_r2,2,3,4,5
163,4,0.02214561481001176,025,137,048,178
164,4,0.0592746975146472,143,005,076,157
165,4,0.026668885342769344,115,196,082,192
166,4,0.0515237691835122,195,119,155,062
167,4,0.01259222196142562,149,075,105,127
168,4,0.0037186815409748775,184,140,045,193
169,4,0.006526455779295115,113,187,172,125
170,4,0.016898180965542742,084,012,097,151
171,4,0.005564473936045755,036,005,011,153
172,4,0.017731902682458722,133,043,031,120
173,4,0.03414550108492198,146,029,163,047
174,4,0.029590685877613487,150,166,124,107
175,4,0.004435777852565992,153,192,015,187
176,4,0.01689687508387927,151,114,102,131
177,4,0.008913719819190646,178,132,055,156
178,4,0.015415046790345777,037,012,174,053
179,4,0.0381455888646145,155,071,122,156
180,4,0.023558002270053335,159,189,025,000
181,4,0.0218362289372509,081,164,122,120
182,4,0.020213038398241956,121,198,068,195
183,4,0.008655068302262259,153,066,182,178
184,4,0.007736051429416357,080,000,077,133
185,4,0.0016595641076220247,048,065,122,032
186,4,0.01573689835887848,158,172,017,191
187,4,0.009382296744740004,005,125,012,117
188,4,0.01577875188818445,049,016,022,088
189,4,0.02078461564411571,114,151,167,166
190,4,0.02204281041309286,143,104,150,184
191,4,0.019190384934540727,077,090,131,034
192,4,0.013792186744553403,151,070,149,170
193,4,0.013112239691715377,065,130,014,141
194,4,0.0109310924916306,049,129,174,161
195,4,0.008386742811231196,008,198,004,156
196,4,0.00676861800081241,117,042,121,005
197,4,0.02004621859046929,033,048,045,065
198,4,0.02009323258045015,098,085,188,066
199,4,0.03193632379359457,044,176,055,096
200,4,0.006561545071012476,000,084,122,070
201,4,0.014339788944246146,080,163,110,094
202,4,0.018164461547797828,143,189,137,057
203,4,0.013682825540046961,069,127,129,110
204,4,0.01925233941210036,110,082,057,051
205,4,0.008741909037031093,039,040,189,147
206,4,0.001795737625616467,016,099,156,077
207,4,0.05001965688291332,108,172,143,173
208,4,0.015625229247452577,055,006,091,192
209,4,0.017090787544688957,024,013,040,109
210,4,0.016982924162853408,092,136,081,185
211,4,0.013688727026133662,165,029,047,036
212,4,0.014749458627409506,172,190,122,066
213,4,0.028802657636288642,115,175,185,133
214,4,0.009857333898657061,008,027,108,005
215,4,0.02306938353053334,163,191,082,088
216,4,0.007051674766822558,004,055,167,137
